# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 22 18:15:05 CET 2019 [seed=777]
# -beagle_cpu -overwrite -seed 777 -save_every 100000 -save_state checkpoint.state HBV-D_ancient_skyride_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.Russia	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.Russia	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.Russia	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.Russia	location.rates.Oceania.WestCentralAsia	location.rates.Russia.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.Russia	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.Russia	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.Russia	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.Russia	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.Russia	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.Russia	location.indicators.Oceania.WestCentralAsia	location.indicators.Russia.WestCentralAsia	location.nonZeroRates
2500000	0.12838780906756683	2.6285138873016227	0.17510474925380212	0.06843877708046052	1.9185650318808214	0.35001351991794405	0.6334789434618864	0.8449171178104437	0.698075899711963	0.006346037420494337	0.036525857291299056	1.2634373098695515	0.6234842535872452	0.4766148948092666	0.40590095498265066	0.06844038738878576	0.5455159182393827	0.8024243418310791	0.17490814207211536	0.15491508423013967	0.6100686900925895	1.3801964704211787	0.9567027483322311	0.9664606613379946	1.9893378608103987	0.22740402118529898	2.080853344391022	1.9733624404269945	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
2750000	0.3127716892815558	0.6958574771326748	0.49986048698112484	2.838746956945159	0.9531217099391979	2.0455758386300964	1.32476073762342	0.7375418101414782	0.9178599722939942	0.7147073484168228	2.370640007337397	1.3303298428046602	4.5215995191404525	2.3788328869250313	0.7877532608556951	0.8297844818900413	0.14860568124734158	1.8428070877044607	0.9063632869231701	0.3545724056706718	1.413159341038556	1.3202056758676142	0.32296647383416227	1.1157812008993573	2.6471857218210295	0.07463431349284388	0.011316445237027323	1.0010633599557304	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
3000000	1.5678417561964502	1.3945498180515157	0.678298249261714	0.18808200251230814	1.0407223532427226	0.10224539481605023	1.4599747736686106	1.18385420047765	0.8810203189434284	1.192403038614852	0.2741313194302752	0.710508098657829	1.4108200979638128	1.913353308376391	0.5813773104412431	0.13678783164613945	0.7137245546557851	3.221302892692808	0.6557892458277098	0.9596484699465638	0.9075243095852373	1.3618384680006352	1.9103603744641662	3.430043825050873	4.813629261270885	0.24586239772081914	0.8685529681009311	0.7014693955644431	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
3250000	0.30998580315015367	1.2583863845401277	0.49786908864457774	0.018016136186986505	0.7789040142347046	0.8438659102591782	0.34409598360676086	0.18514922881559046	0.43338757994046345	0.2918043887051321	0.06912106482050584	0.2800126189675413	0.02590612834021433	0.7595567240797881	0.27179445751802067	0.16016641170581913	0.09627036103727127	0.5864641916214315	0.4486880488038743	0.10292346142870958	0.30246662525346063	0.6419864508502713	1.0833627576081957	0.3081137136413215	1.05072350008644	7.534977252470416	0.6464396792152655	0.7850779342603106	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
3500000	0.8218974461460219	0.6594985656524932	0.5117032143047073	1.6487658219641468	0.052921894078411955	5.019061013145821	1.1677918480294092	0.6403945818115755	0.7599596955399639	0.014356568359308342	0.4816233893030246	0.12129008247400053	3.269842049593866	1.0555720232348074	0.6910673283372393	1.7037234434616608	0.8591347424418572	1.159152619246132	0.07542574400407623	0.46079516959581196	0.8309076633455386	1.0427034938479498	0.6343451150947096	1.3688795322834015	3.0095139724085183	0.5783128047602906	0.13207159278031247	0.4296044357916439	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
3750000	0.9271090498921732	2.2013951165265206	0.2815340795638982	0.2270574515195277	0.5618161153878565	0.10289938927612537	0.9263631582979573	0.68535241784174	0.4677851639346525	2.530938589606043	0.438497639716099	0.5265239136168997	0.11250626300104027	0.8241075672090272	0.8483716914477656	2.692975980637709	0.4809531355084031	1.119806292277803	0.25267386233912065	0.48051382070469617	0.6077811499148612	2.0182935135972095	1.4842868127242161	1.0053861535936548	2.039072817835636	0.46110475492953656	0.15440498438028272	0.02212442259656625	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	15.0
4000000	0.14275498736906617	0.4134383305099921	0.20465088618911348	1.5206056549505629	2.690492870567194	0.8576970887574495	0.49932460360561015	0.48312413287909795	0.8572023850957584	0.20931491483158454	1.5731405531485918	2.3908654336229356	0.6037474168588458	0.8434270517891581	0.5880856671048496	1.1221361250785535	0.45037391322943626	0.945430939464207	0.15642238190062144	0.26568096118488366	0.24456164457533774	1.3605870571046674	0.14422374813226418	0.14847465579043437	1.829955250667685	0.7055177216369811	1.3703540200821835	1.0948290520041164	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
4250000	0.3061139947354483	2.5324899069007722	0.5215942012299475	0.2898576231206969	2.4116025722539334	2.215115636657195	0.9727514911844001	0.7818668630849148	2.25676957720358	0.703992488103363	2.14341585008878	0.472752149701275	0.12161979118215056	0.4488143900947041	0.49928212859659876	1.695104572212325	3.3655432779060765	2.7394060115080676	0.7216097338062227	0.3130566798717948	0.3808111288850048	1.7947571277919079	1.4891451878601674	0.6726189382066006	3.19720952556648	4.537725531546551	0.5345079816108382	0.08396280227368132	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	13.0
4500000	0.4224331604594703	1.2352643455551064	0.41256341715135636	0.5827239950639946	0.07795705576165267	0.728070822948182	0.7879795723152553	0.2344280392104157	0.801346891847289	1.0468184347447653	1.7157902753810357	0.41565189868893004	1.5226167976390625	1.257199883016682	0.594079418472837	1.3376470858769194	1.3593366759546504	1.6329837631957265	2.7790199863381693	0.5066362053467518	0.6726415436400223	2.1083307296413025	2.014102933618472	0.23143886153364374	2.769211512632523	0.2808847239436936	1.5502990150655023	0.7646393855938902	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	11.0
4750000	0.32480591978402606	0.5113001232409367	0.9151080580633221	0.10634561877796851	2.635051106828626	0.32048933176846667	0.45958993690856786	0.2923820534641398	1.0982051963007353	0.9866199237637635	0.2689188324497053	0.05243420854910855	0.5371940135419577	0.7792611810706067	1.1801396659148427	0.0768794988528967	1.2550005943628595	0.7234669862585386	0.34787572100072495	0.4346419293220539	0.8270072093658027	1.5945217461620202	1.3735113151429557	0.6021024303008005	2.052672272743199	0.8390686341125294	1.7618213585508544	0.0342572794057594	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	12.0
