# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Thu Oct 31 14:13:45 CET 2019 [seed=101010]
# -beagle_cpu -overwrite -seed 101010 -save_every 100000 -save_state checkpoint.state D_with_ancient_aligned.xml
state	location.rates.CentralAfrica.CentralAsia	location.rates.CentralAfrica.EastAfrica	location.rates.CentralAfrica.EastAsia	location.rates.CentralAfrica.Europe	location.rates.CentralAfrica.MiddleEast	location.rates.CentralAfrica.NorthAfrica	location.rates.CentralAfrica.NorthAmerica	location.rates.CentralAfrica.Oceania	location.rates.CentralAfrica.Russia	location.rates.CentralAfrica.SouthAmerica	location.rates.CentralAfrica.SouthAsia	location.rates.CentralAfrica.SouthEastAsia	location.rates.CentralAfrica.WestAfrica	location.rates.CentralAfrica.WestAsia	location.rates.CentralAsia.EastAfrica	location.rates.CentralAsia.EastAsia	location.rates.CentralAsia.Europe	location.rates.CentralAsia.MiddleEast	location.rates.CentralAsia.NorthAfrica	location.rates.CentralAsia.NorthAmerica	location.rates.CentralAsia.Oceania	location.rates.CentralAsia.Russia	location.rates.CentralAsia.SouthAmerica	location.rates.CentralAsia.SouthAsia	location.rates.CentralAsia.SouthEastAsia	location.rates.CentralAsia.WestAfrica	location.rates.CentralAsia.WestAsia	location.rates.EastAfrica.EastAsia	location.rates.EastAfrica.Europe	location.rates.EastAfrica.MiddleEast	location.rates.EastAfrica.NorthAfrica	location.rates.EastAfrica.NorthAmerica	location.rates.EastAfrica.Oceania	location.rates.EastAfrica.Russia	location.rates.EastAfrica.SouthAmerica	location.rates.EastAfrica.SouthAsia	location.rates.EastAfrica.SouthEastAsia	location.rates.EastAfrica.WestAfrica	location.rates.EastAfrica.WestAsia	location.rates.EastAsia.Europe	location.rates.EastAsia.MiddleEast	location.rates.EastAsia.NorthAfrica	location.rates.EastAsia.NorthAmerica	location.rates.EastAsia.Oceania	location.rates.EastAsia.Russia	location.rates.EastAsia.SouthAmerica	location.rates.EastAsia.SouthAsia	location.rates.EastAsia.SouthEastAsia	location.rates.EastAsia.WestAfrica	location.rates.EastAsia.WestAsia	location.rates.Europe.MiddleEast	location.rates.Europe.NorthAfrica	location.rates.Europe.NorthAmerica	location.rates.Europe.Oceania	location.rates.Europe.Russia	location.rates.Europe.SouthAmerica	location.rates.Europe.SouthAsia	location.rates.Europe.SouthEastAsia	location.rates.Europe.WestAfrica	location.rates.Europe.WestAsia	location.rates.MiddleEast.NorthAfrica	location.rates.MiddleEast.NorthAmerica	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.Russia	location.rates.MiddleEast.SouthAmerica	location.rates.MiddleEast.SouthAsia	location.rates.MiddleEast.SouthEastAsia	location.rates.MiddleEast.WestAfrica	location.rates.MiddleEast.WestAsia	location.rates.NorthAfrica.NorthAmerica	location.rates.NorthAfrica.Oceania	location.rates.NorthAfrica.Russia	location.rates.NorthAfrica.SouthAmerica	location.rates.NorthAfrica.SouthAsia	location.rates.NorthAfrica.SouthEastAsia	location.rates.NorthAfrica.WestAfrica	location.rates.NorthAfrica.WestAsia	location.rates.NorthAmerica.Oceania	location.rates.NorthAmerica.Russia	location.rates.NorthAmerica.SouthAmerica	location.rates.NorthAmerica.SouthAsia	location.rates.NorthAmerica.SouthEastAsia	location.rates.NorthAmerica.WestAfrica	location.rates.NorthAmerica.WestAsia	location.rates.Oceania.Russia	location.rates.Oceania.SouthAmerica	location.rates.Oceania.SouthAsia	location.rates.Oceania.SouthEastAsia	location.rates.Oceania.WestAfrica	location.rates.Oceania.WestAsia	location.rates.Russia.SouthAmerica	location.rates.Russia.SouthAsia	location.rates.Russia.SouthEastAsia	location.rates.Russia.WestAfrica	location.rates.Russia.WestAsia	location.rates.SouthAmerica.SouthAsia	location.rates.SouthAmerica.SouthEastAsia	location.rates.SouthAmerica.WestAfrica	location.rates.SouthAmerica.WestAsia	location.rates.SouthAsia.SouthEastAsia	location.rates.SouthAsia.WestAfrica	location.rates.SouthAsia.WestAsia	location.rates.SouthEastAsia.WestAfrica	location.rates.SouthEastAsia.WestAsia	location.rates.WestAfrica.WestAsia
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
250000	1.4719814349808729	0.14644742733202387	0.8700146094589668	0.4169202759045461	1.090946876988413	2.2302812489846504	0.85452660425842	0.14497246977013095	0.3360179587082274	0.12002139404998927	0.9562148660999352	0.1450820850786416	0.3002616865809537	0.3825428384394282	0.5359952691744226	2.3196076574789353	1.3257325306462013	1.7567231582824256	2.010665552665179	0.2385631338021174	0.7367240156288068	2.5276352688943406	0.9698168593728015	0.6169899522573995	0.31733470044660567	0.24129144215959175	2.89576626835017	0.12924468346756807	0.008532257501398233	1.4143373891236375	0.47553764111460994	0.49407880093115586	0.2307127447203927	0.6674382092977145	0.0176327791132349	0.6676865790301659	0.14642211019798823	0.7544117493824835	0.8926058636844412	2.7514554532986386	2.079247609394968	0.04164824263392926	0.0939284970545863	0.06201006268491578	0.908067776454416	0.23753019745549492	1.8750994447749156	0.44104729324082126	0.8730931701310385	1.962854844106775	1.0632187207919783	0.8529465346552699	4.105014014278091	1.6360028618491649	1.4895928815104598	0.43549279267453	3.6338539494821673	0.7721879642792896	0.47340254445747815	6.712607554345365	0.579706780602083	1.0198293355471997	0.27445937350578076	0.660154746332098	2.0880969705304704	3.2248731506802097	0.8662255955313537	1.3580549066198242	10.941986313260719	1.6195927657638425	0.16584645363531075	2.734368007339023	0.14088494560773823	4.441234832260543	0.11221739938969014	1.2297986422155311	2.963390670806219	0.5290708435261801	0.9772622139786603	0.38431124546891476	0.5741253821441414	0.6248396563526668	0.08887747080431223	0.24733717233425412	1.8371012816896661	0.12988356417878735	0.2189063975942232	0.17330942314878045	0.06417185264702333	1.0690427999053547	0.12028414052707552	0.5950883266161361	0.22400339387820375	0.8576780351630344	0.12561314378370134	2.9585557791511823	1.1690202322642222	1.4700213225933778	3.5073425713476705	1.8450549739464275	0.6361553204577627	7.66578412164508	0.8522027571303201	0.34305251660131386	0.3715296917497566
500000	0.07420429709944688	0.06854219605515637	0.2437893727479997	1.0195462912165805	1.1049779781866502	0.16411097283500634	0.13032148891750697	0.40098112114672607	0.01143617282736189	0.14782758929654913	0.347809284667848	0.04306282045231606	0.5911475000796711	0.5187892363929204	0.4078812227132829	2.214183883265239	0.9756130692345063	1.59285047598057	0.10659581358414928	0.1414897753629443	0.019095653754173714	0.45706619697667766	0.1144939383263081	0.06851841375167186	0.2738456940983291	0.15572772049194344	2.4273601879068387	0.712739749325724	0.1057803680165655	0.5486529791468322	0.3224796821922356	0.6134946433741545	0.18274448553882638	0.066809114507674	0.34054318901126385	0.44659956808828316	0.20227319058546733	0.16416035524296926	0.07124977777830331	2.6376726130442942	1.5095487177918834	0.19657816731359853	2.1151139970257202	0.32340078568059544	0.0050935608926067615	0.14423374290142363	1.801700121137815	0.5059786749991895	0.2788798619642387	3.7044824594158836	0.5358476901365975	0.5785798198931702	4.2456993983651525	2.252321035475317	1.0796445155099015	0.5204163534372773	4.229906136152739	1.79665848647796	0.07952531507616094	3.9748858545980665	0.07117872634848038	0.15228381794945683	0.047824450237744065	1.7236372950909975	2.557925805280227	1.8325450926599474	0.10437858285383575	0.4517448844485181	10.444721365306945	0.9386717052899011	0.4887320952498308	0.03905010949189976	0.1399515745396453	3.6875535028149433	0.027871113236741643	0.39911569465825175	2.7531060201909576	0.10231348851442114	0.92891029882425	0.3375999804316656	1.1333092677422758	0.0012610195919398898	0.1466333226245872	0.445809899906049	0.137159582799663	0.23540932156677902	1.0131134820276864	1.4318429788546014	0.3214269771428796	0.5041181966042892	0.054832473811018224	0.013564219481648909	0.07199641476885957	0.16491135065127802	0.24010768387838632	1.909356284626496	0.8038093752813223	0.3394612156484134	0.06984206832087639	0.6330269310625013	0.721604131349963	1.7881212476418769	0.06717215434400202	0.3625476794805621	0.31365018210903883
750000	0.5344779415721608	0.16073087616737067	1.6256028684674257	1.1771667020652141	0.5885987205746622	0.7007516144130659	0.6812402836169732	1.8234453397627555	0.36119890319885306	0.012067064330874705	0.2777408028359068	0.07662267368040344	0.0399410772583599	2.0843380496185326	2.908535582626092	4.889175488454634	0.7714495748949751	0.1869600672009774	0.30070725370731344	0.5494604057828325	0.1597600359260351	0.5309132480141255	0.17447810663018606	0.5866631404286776	1.0320300617647025	0.01135271743088596	2.386543429377959	0.30319923326874615	0.10497745728579903	1.1013590662799972	2.19539282690448	0.8422046879625341	0.7131012585457488	0.017570323071320195	0.11637872256066568	0.24131122998686425	0.7234778997344876	0.5550472278259226	0.11836546989575247	1.194957224277164	2.9999337783451	0.19584790386237072	0.3830388563931621	0.06736929917421264	1.2624250580707266	0.5083180546613619	1.8810857889594101	1.0480554260424007	0.34615008214269993	1.6372316107631104	3.4554136175587895	1.232623036250776	6.226823392727351	1.493057758115823	1.8069866732917952	1.341544326558034	3.392036666970525	2.2947435301140944	0.10289166324631623	5.22935470326316	0.09738318249127464	0.2703334329936231	0.3784227110818882	0.6911440763657231	2.294048201527539	0.7011707841581615	0.43201003333564125	0.10564046134056888	12.815516155216306	0.5209631525601784	0.5380113093632714	1.0612575694484756	1.5640300227999016	1.9829504236766051	1.3066514337775854	1.4204904257676827	2.310725536075575	0.6413209683170883	0.20006369811096655	0.17989573874029463	0.7573030470363454	0.27347086566953194	0.36425256609750567	0.5274104272321841	1.0803708951577218	0.5485068122283879	0.13962792048875947	0.14623472616434932	0.6325729814533705	0.18359401357815341	0.006318375446941177	0.08812028719783917	0.2373987678720037	0.5528843786595687	0.2477867787842687	1.8349364841674514	0.3343672693563819	0.10900610345004917	0.4501830599869539	0.5841955152730156	0.16692707376674193	6.698032701905906	0.06875645350659222	0.3277936780193926	0.49139429517424205
1000000	0.3405978584938167	0.16625288981640352	0.028450830495249865	0.3833159441626847	1.7385527410825634	0.9751297511621946	0.22301338205310095	0.17406542910249487	0.5096177444463144	0.8948514683307082	0.23873116323206683	0.3431222488744994	0.0822761328124874	0.36913194661648624	0.8865684445264109	1.836904276808763	0.2560982107793695	0.28186902045151685	0.13233846227930396	0.6795542409548794	0.5665661133775574	3.9005885622718655	0.40419308784282737	1.6650163450016722	0.38343328999565646	0.17696594367281995	2.660613096793852	0.5442342398659376	0.05707253980409739	0.7135831086869157	0.013319117266286443	1.0508329005294323	0.43955060018659114	0.04002959019138392	0.8803669303202564	0.5807319911882725	0.5133299949983616	1.0488402501475986	0.046682319532780035	1.2240840908230763	2.8085913784496217	0.5107464981857524	0.14494479874497027	0.3740946567898221	0.4255898643531411	0.060984636429991586	1.1441190090062199	0.14077820383795553	1.2415250271339158	0.300772044264914	3.438326716830574	1.7307837679770255	3.5588076706588554	1.7471295786360002	2.1778466265375553	1.9190373249633594	4.328605503407709	0.8310894214527355	0.2652244286921313	4.549652923893389	1.3654903024447906	0.40849626090343955	0.723383400593319	0.6902331381185183	1.1802487804247452	1.9590204774391888	0.02852149800709685	0.688352249421693	8.44110147222209	0.9805004041166883	0.25686784868043583	0.5120608321038468	0.15374098400883673	0.9261386332219584	0.12559857305650768	0.8437749017658441	0.767269274465554	0.5419923286852109	0.6927017264274434	1.6888586476961935	0.8952096040126764	0.44849989564431125	0.1600300908354377	0.5112428451246823	0.34581592409865286	0.9401736060341004	1.2121968814217385	0.17151411610621178	0.05132061071739844	0.22280164389521945	0.29890893555496784	0.4498747422103616	0.2975757731644296	0.6939376132237288	2.636595141253777	0.7435946181899908	0.6403031660000068	0.031091973806450506	0.11653678272894587	0.8252455217648506	0.744786662984958	3.1366443957458467	2.042684780041796	0.5418341775472902	0.14810282625312082
1250000	0.04743822615946808	0.2947049590710997	0.12386038375917947	0.21619770277803133	0.1514631734556628	1.3963925742633283	0.6530814762128839	0.02270362594853079	0.11795352768376004	0.39057078411732327	0.07783832106509887	0.1756865462578969	0.014898601961403081	1.1153399219179365	0.1891585539011438	0.7310195385250923	1.2453097297192453	0.2598712781138299	1.0022180080157077	0.01810168709193331	0.5874846398869505	0.1650703349634807	0.009098035537167749	1.389583223044991	0.39071539272695144	0.07826405044332956	5.013922394319397	0.7509191724861606	0.9560061973933821	0.5337212457768141	0.8635015411777952	0.5727792086094553	0.08165551620152714	0.23319619485633003	0.23728398470939246	1.1496143903793876	0.06619008411272471	0.7480822458387939	0.3148369424945851	1.1116079511975385	2.2321786499682896	0.8818781966517671	0.009654228296948533	0.05036431919910871	2.2457563494754114	0.5540423778223722	2.993453154359547	0.5202822971234873	0.14459537912850895	0.9196412146714944	2.4625196929266235	0.2047700514578588	4.105635337296688	1.9955694212318673	2.261266601196523	1.5868039116569899	3.0156196727876208	1.2767040480684313	0.0024967416372451115	5.02674277038974	0.7581616346339993	0.11047590379083101	0.4264704291247735	0.6911923016983782	1.2721553009982898	0.3113768431793116	0.027067980951346438	0.7986476291093629	13.999676354245159	1.2696797995986524	1.0236185950048717	0.034221156681339904	1.0191386493080423	0.7458730449895301	0.23034035727779809	1.2196859365638602	1.7891771558093557	1.3854086094730718	0.18074447696935755	0.158376005529482	1.9018316393986014	0.18885400017071222	2.2465502471249414	0.08735097984786203	1.6408794586048199	0.4450891976898116	1.330890879198963	0.19843357710283158	0.4075677883082028	0.6336414573823835	0.5639257337330288	0.6637766782008223	0.7769566206604472	1.1333089438076807	0.18449201477250582	2.5884487431822913	0.7920897299890587	0.3189845166625702	0.052635200708927375	1.218688620959772	0.6761900125176795	3.5922694331329343	0.9700525543485182	0.052880996785428055	0.19222713303598504
1500000	0.7812523718479297	0.9246105017618126	0.35673092941156653	0.4625898943853778	0.6879430372407568	2.398454707466897	0.11735169417292143	0.18881736818828637	0.40209673616225944	0.43075675701096905	0.06873428185257918	0.6128454645770678	1.5913803769965948	0.6504087874489504	0.5272085868956671	2.5266064951060025	0.147303803173581	0.10399097286108329	0.5157968507745728	1.5772524251349678	0.12022899617269345	1.1467376088552625	0.08638564091523378	0.09018846316853689	0.02601328925873341	0.9637126384896308	4.084902791462155	2.203197822501372	0.04725441698022033	1.029345183856396	1.0870319558214474	0.28758981525150157	0.055685364459777634	2.327150296101388	1.9978582554475235	0.4928322369198798	0.22774034617658612	0.7133300666943615	0.0522472600322401	1.6109700785771999	2.043968893239744	1.2780650818370993	0.05828487732279842	0.7909894315207376	0.3942229062104187	0.16929388776356818	0.6192768195996767	0.8098221512110658	1.2591011995376096	0.8691382792483976	1.219315763940041	0.7429398105179489	3.077744666334038	0.6038539083820225	3.3719801977490507	3.111681165569209	1.870996396052993	0.3908648246934806	0.7622478987419904	4.3082407272914995	0.14290679046068216	0.9589922646129863	0.013872998247047429	0.0767539556821851	0.46417413092513926	2.595008751941655	0.1586149504872707	0.6202952295514669	10.382152146982612	0.9454463345298518	0.2149078501594749	2.0718281134184426	0.5008263585314756	0.6333406082182566	0.7776297003857752	0.8200495911895763	1.963606350777116	0.4120076499054317	0.6279685250999749	2.8206876595361003	1.6355455329866033	0.272049202385476	1.9067900256922627	1.632727591881405	3.3872239137122735	0.521212399448915	1.919653927112507	0.04157292512690739	0.37441207960390294	0.41493208781411983	1.0575493784016623	1.3293286449953785	0.022887557227904583	0.4524596145677215	0.14721470191405903	0.14820531921156616	1.4711010189629063	0.2747893486051145	0.011151993604856147	0.6935508880408786	0.4498608810989639	3.1436134386490027	0.369608673125164	0.07841847600196364	0.43170104839064993
1750000	0.05519274957992879	2.546400256723816	0.36070057364175034	1.0436351893974745	0.15940958319863574	0.39416230105617844	1.1297664091926747	0.17911137228853866	0.08341518201417043	0.3581553447889232	0.9012524678933468	0.38892086483495747	0.41357074726909415	0.6956400770208402	0.1567774406418579	1.8995382893220214	0.41018833527750465	1.7524531807804387	1.709606663701442	0.014399395867401377	0.1730600208914706	0.6863636737516344	0.13899929453133184	0.4898282430848727	2.0285293567832916	0.11093319565100433	4.27133846835134	0.9455476308989808	0.20038893549309703	0.8603208446266227	0.07334223149415524	0.08753483659370759	0.20883463882865272	1.0914374659173587	1.4834978080153447	0.5406470594612585	0.21513284063191718	1.0179626987135464	0.12726339713799456	1.785833971142652	1.3503236368903597	0.004164281514211324	0.37971663310305137	1.661243500119038	1.019710232882367	0.5196275271298968	1.2389697250759448	0.2594081640570252	0.24818549167770992	1.264846095460629	1.0525140746471329	1.3815236272183031	1.9650337244031548	0.6058566427666969	2.6434627786691545	3.3284166765896734	2.2606743178767026	0.8257931719555344	0.18740456106823095	4.353754700320011	0.3545378605463429	0.9778171652108396	0.14859414121719472	0.18779182516044102	0.6277421611643884	1.8138176016808505	0.20005874546306499	1.483261723621578	8.865722070236714	0.5026670661679358	1.111150534311421	0.3048921078643271	0.21593969266717025	1.1579400010800385	0.13513596361056499	2.104418713592504	3.21105142661593	1.077053418000076	0.05337665149184432	1.850425547780989	0.06759510115642585	0.7934381327471134	0.08453226647555839	0.13702543758887603	0.9090927745842088	1.2378359210966816	0.45819885076879835	0.6030686945610184	0.4141805511548366	1.101844964478758	1.1751155621862555	0.7033048092532971	0.5606963127071882	0.9531717583403063	0.17541174599828144	0.27272919534278844	0.8624765350821477	0.3976878349941242	0.318983050901987	0.42885758134292645	0.5886954685962273	2.65726156248477	0.12756509714286307	0.8135671061228728	0.4708385224324522
2000000	0.12234884199359235	1.394922549942218	0.1607723938285872	0.8219067239363885	0.5103458468794188	1.4888679590295928	0.0063703001189064825	0.9448202757829067	1.0113524346029532	1.072362108353766	0.5452159040730742	0.5464672118144862	0.6557928405169255	0.8379367949778836	0.5082657538624594	3.961855553257415	1.5075474923902148	0.5307209551591993	0.17223944598950772	0.3879417981453888	0.03308824995996578	0.5212369161515897	0.12617324888064396	0.21269500539052782	1.2039595920579473	1.6441786013655597	4.865001679697151	0.04915519949954497	0.15387212941109446	0.42648103791583397	0.01517911506083212	0.2840272265683302	0.5357808419471191	1.2916536876901836	0.567759291183968	0.029719646635042247	0.17159217124022244	1.7860767081789355	0.14443857340749464	3.367065286992859	0.7214135811992453	0.7858218978828085	1.353587735110782	0.8910387211362998	1.9397979707182882	1.715212137089673	1.677507515466264	0.2952843939868298	0.5545911305754604	0.9230649123242576	1.202641882076461	0.26221893924166934	2.851590054132698	1.878367955097529	3.1132119323534235	2.0939814129573007	2.2575371784390947	0.41161376393951704	0.1282708609395566	3.352286813047085	0.846027089512045	0.33098364465262436	0.33328922314196874	0.3831582375471455	1.9241421495543949	0.38149623722059345	0.536559052679233	0.6620776833172318	9.098650750714064	0.6121851301883796	0.2029268812673196	0.18068791273462517	0.1549221250460187	0.18748278744798144	1.0183792315712454	0.30263240992378737	3.4199121497983542	0.1568950550646661	0.20811839878192182	1.5589242788629876	1.770440122315417	0.7565620439479736	2.9326656268303144	0.02262166771278523	0.7858909482879455	0.1929963860886103	0.02861928206704594	0.9810493668400602	0.13574798420312123	0.4157163861470977	0.12976231517411135	0.24898903405339423	0.14931638287908716	0.14260770042237836	2.116587235793028	0.1524272747497476	1.1135710121431581	0.25361550120833914	0.34058469791430135	0.376809256299934	0.5072824541405974	2.389026396901002	0.34100931743552815	0.5567254431433806	0.12426953482381975
2250000	0.3625942913062258	1.2943529461518855	0.6859177785644265	1.3264754523433215	0.28519993120520293	1.0908030186684345	0.658228587034459	0.07650901564123944	0.48051045467277514	2.2233970194460224	0.15580981511805558	1.1032423694283509	0.5121686512939657	0.5598924866434444	0.013778612940505332	2.2298598279352344	0.9714104100376106	0.8886863908008521	1.5061311073203127	0.5845739423885083	0.04206858636005835	0.490026349456041	0.5945051967455474	0.3531306940837309	0.9630622118732766	0.5597101144066513	3.800920168742126	0.09195384139877154	0.03522651421286875	2.069842358265468	1.320481519244947	0.3225184707883519	0.29473815166112455	0.051199290760406135	0.41410979698332345	0.07177288453102051	0.34526674036161853	0.47100425045614924	0.0839078946743398	1.9573170703876506	1.7876022395589084	0.9282199942324597	0.3899556652298146	0.21615085769746112	2.5673303562333727	0.48906547145299456	1.0329281201241167	0.2879872375168616	1.6468501752763482	0.9318486211805991	6.774629687500393	1.4292562932587418	2.7823361184534234	0.4167569818007867	1.175296847785676	2.4893666844704545	4.840341720736662	0.1141265122843695	0.39938389660167845	2.2400635729904046	0.5176627643531642	0.5518384152428852	0.02397830126868787	0.1345302623491083	0.63602947311577	0.0016248917626335534	0.6188942360700793	0.1593086737762561	9.111778373785898	0.9707523952087111	1.0085209006811897	1.1684356119813024	0.5115721200898127	0.008389506167072387	2.213413549221555	0.8133393910072968	2.760466069920973	1.3439425218399734	0.5464852160572986	1.683756155775699	0.007647327649695829	0.13626207855203246	0.2382611809790028	0.508141876989273	1.5695242372521288	0.7658995082071587	1.6207767980746413	0.45885649284548774	0.07377187591122157	0.8637628130927504	0.7799287984959755	0.3750775276495052	0.8457893693619177	1.3773604468050848	0.11233725196552953	1.5665708501919131	0.8263571351266573	0.08240769963270594	0.18996301429008255	1.2536888491636793	0.7709598890255949	4.252158302050337	0.7519778244007579	0.04206488066513846	1.3778223361217654
