# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 20 10:51:12 CET 2019 [seed=777]
# -beagle_cpu -overwrite -seed 777 -save_every 100000 -save_state checkpoint.state HBV-A_ancientDNA_skyride_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
25000	1.6374726023306276	2.5562496730231934	0.27931228483012915	0.4128838845193957	1.177283532917603	2.6696602072405695	0.011943322637593403	0.9087194978232276	0.683268325777544	0.052961450171745944	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
50000	0.7146843284328975	0.06648197176739855	0.26373687342464147	0.9791780766535781	0.4858936296070645	1.2182101926653695	0.047738032269684205	0.4670888785360057	1.7458133398342557	0.9169633713536006	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	7.0
75000	2.5572746132509914	0.38039498023406676	0.6052496443748074	0.29437714823549105	1.9389777231736016	4.9794628895598265	1.9954335572937014	1.6835335341065083	0.030882888191342932	0.20017576315209787	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
100000	1.9170264795644267	0.24006875170213543	0.22203329908496672	0.0030602819593259505	0.9126077471442184	2.632973269884047	0.48652146731042356	0.9002358180749965	0.593177398131982	0.05613125999103023	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
125000	0.31970744265603546	0.5317291782808934	0.09024562027104199	1.8944624233414022	0.21017052797781224	0.5920441209611981	0.6903124949038059	0.20066400891616765	1.8746879480976821	0.033562481274078695	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
150000	1.4379125002059114	0.4921250149199715	0.8929445214246663	0.40485523460494083	1.265365088501656	1.9674850230049337	2.5337892263932913	0.9231077660044129	1.0574346561432488	0.12138652696760019	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
175000	0.9314440893201866	0.5025579641617612	0.5322983819717084	0.13841204370529753	0.5498011940807546	1.8979138290545117	2.2190359730657088	0.6441625235782097	2.2220996892617713	0.11761646471699021	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
200000	0.9259765856839441	0.21926977544742368	0.4700513665426514	0.2148899579811234	0.8734762415435066	1.8124376556819846	0.6034949599952024	0.8459716339690423	0.06926892845291972	0.9754304685374805	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	7.0
225000	0.40923381299917555	1.3100846064450762	0.20610634088334398	2.8181004489864354	0.37655738297770674	0.7701877714593348	0.055048114613977885	0.5760375690110846	3.574851994445005	0.9052628620485231	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
