location	count
Belgium	158
India	10
Japan	50
United States	129
South Africa	21
Serbia	2
France	2
Nigeria	3
Malaysia	1
Cameroon	17
Niger	3
Haiti	57
Gabon	3
Tunisia	2
Argentina	19
Belarus	3
Mongolia	1
Germany	10
Uzbekistan	1
Malawi	1
Brazil	26
Panama	1
Kenya	4
Colombia	4
Latvia	4
Poland	45
Russia	8
Slovakia	1
Hungary	1
