# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Mar 14 23:46:01 CET 2022 [seed=666]
# -overwrite -seed 666 -beagle_gpu HBV-A_phylogeography_markov_jumps.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates
200000	0.16228498522999915	0.30111601996673215	0.3745365002071748	1.7849488798231763	0.1523125999939773	0.668397572695381	0.5809974937408278	0.44387810591070614	0.20078285516697433	0.08469794546774274	0.7138601329377247	0.2791748919539312	0.49585851605868536	0.3037316931843325	1.130046625375819	1.5157900351472804	2.0480367484612967	2.1811401860824366	0.09021178933896018	1.584829545938848	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0
210000	0.10695318124733058	1.4343835243921887	1.2669132416863949	1.6684989880429266	1.4955046708518307	1.8844321960234005	0.11446495313213384	0.7558858061479887	3.5547022397528987	0.9544237246413969	2.9551588348438544	0.48462744358459586	0.9397584605094667	0.2737233848859522	0.7708984643441409	1.9551722493550898	2.5909367699116825	2.711794091792102	0.4864954280897315	0.3875670460222403	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	9.0
220000	0.30237635988815675	1.2955014762532726	1.020393370270876	1.339356561642327	0.7389244645917838	0.8336138691878174	0.017289193595270733	4.760572439386363	1.3760551164072212	0.11324552185494405	1.6961039317814657	0.398253468010438	0.5415364292655325	0.531696091144698	0.0712949441867408	2.3779704630938103	1.8130076126177113	2.377486662668678	0.1783857934502808	1.7544025470200921	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	10.0
230000	0.758985038115468	0.7084413100106006	1.333809936931756	0.3112051349169625	4.728910058346356	1.00086343101536	0.05348990597899593	0.21831498087997134	3.0587182601577925	0.30988399119658816	1.086889208302103	1.5038113684815169	0.41127724202568233	0.9823469796951534	0.823329855906495	3.458407162153212	0.31636850386573595	2.9796858955919028	0.38694991151522945	0.6929374775743732	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	7.0
240000	1.2929787261429697	0.33241671717023963	1.3066372982781829	0.13116720301891943	0.8472121252148984	1.3812297450236883	3.123320031318459	1.1345134973265742	0.2756775095987999	0.7165679482180196	0.30923636453077935	4.1224645751974105	1.294095401603567	0.6349463626515344	0.23591343184213712	5.179329543246656	0.5774653938603728	2.5663881112879374	1.8380349212896054	1.407279090137244	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	13.0
250000	0.10052499643156564	0.31889091580502293	0.6397050700363484	4.905128146853239	1.4430413997142548	2.135682441980919	0.20123353022585871	3.2749617431239506	1.0346820570249013	0.3590118173669441	2.8731651466550225	1.8411527949215913	0.5842389348813314	1.885124410377915	0.48296004754999	1.3013494788555113	4.300354052480672	1.4493194750280478	0.22274365428893958	0.46606822614055954	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	9.0
260000	0.9928505878659385	2.2216911968486586	0.5685537531093899	0.986739616663407	1.2796908160248759	1.0609861669652512	0.4841335363694205	0.3202369497741633	1.8666277002323461	0.2352862316343435	3.2028142551732763	2.8873087976858214	0.7975111396185919	0.3051427731359251	0.4102234986933525	2.6631949713189482	0.4927206021573348	2.2538443268288617	0.9295768196022699	2.5352197811469206	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0
270000	0.30979572986068354	0.5808803131689719	0.37218561252910964	1.1461150510939202	1.571751377681694	2.787188506692222	0.2974433902170758	0.16611953870015253	0.3473276649461922	0.29467815424272664	0.6082933956984143	1.3134779823154803	0.932996542979912	0.6229540599082843	0.029506958433678402	2.4194909004465264	0.06725203747117982	2.035264541499036	2.0839921911649824	1.0302450430775343	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0
280000	0.342726205577662	0.047117561139937134	1.1818236515253473	0.9537798729115858	0.5887398016380758	1.1787253256728152	1.4616054327229102	0.8220937258729157	1.9474566572098233	0.22035468381961448	3.197795102294821	1.0670319750729698	0.564821163095529	1.1737679298702348	1.256625723407601	2.020528303415124	0.21324762384847937	2.57243471243227	1.7919828933710296	0.02983577282095728	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0
290000	0.3444192050263691	0.4445444056251497	0.6687538049690983	1.0352367220860317	0.752580350083217	0.9410745349149017	1.476661909775206	0.5927410729916851	2.350742851541895	0.24123247265861927	1.3433724540755547	1.2348253561497313	0.34484516398636605	0.8582470136026258	0.8423678781064725	2.7600777069296076	0.4502952816530684	2.2825453793826656	1.3831336582634168	2.1919954424013715	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0
300000	0.5421878393435942	0.02848169054496178	1.0819341946369325	1.7552296842374002	2.2706248696543905	1.2090569733304302	1.783358040880157	0.42818902608788434	2.4140593607822227	0.3200012664034233	1.508800555156383	0.14574518927210647	1.216523773674953	0.5527525732586213	0.251241425012025	1.9909777919658276	0.12279733386306822	1.2045275146590393	0.39113710855716793	0.3164098450411992	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	10.0
310000	0.6321146630395863	0.014083632974625867	0.7350327873581577	1.7165498895235014	1.1862982386419145	0.719330329093803	2.9170646206239312	0.4297196798171096	1.7671869557841946	0.058197111187586956	0.4593560585248741	0.7840305750275985	0.7071503826070937	0.6441019651979311	0.04786732531996447	2.8897315559466454	0.14757163047675123	1.6706874724258727	3.269694053465581	0.12033847954852903	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	10.0
320000	0.20595891887754497	0.9275022709077324	0.44391422828163873	1.3476231096285516	0.6053374308516036	0.8926628536568568	0.12171427098298111	3.869129049671869	0.15122706042765516	0.06649528419864631	0.11008646017207872	1.974960484449444	0.20504725603957286	0.7384208153052206	0.5903397756074625	1.2114125780135465	0.06299348458811709	1.0087480903843755	0.8814800239422581	0.5373637386290063	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	10.0
330000	0.2347770998976705	0.013655229230086042	0.7044412430482778	0.7257623583544334	0.35736682390819574	0.3547128631103925	2.4990780208931045	1.1727650704473283	0.9928784198472252	0.12596154243174906	0.11709286154876085	0.40705671754425743	0.5876968523416309	0.1329354059847336	1.7137475084388054	1.6401440026053944	0.5306844539667195	2.2395269416221697	0.3898836064481061	0.5850684677954414	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	10.0
340000	0.6412947527045488	0.7795269764783839	1.5003975996064949	1.0320541309735136	2.0117155724885794	1.6712111442183952	0.056401389113997676	0.12473112786182954	1.4231197441351622	0.39761443916214	0.3837732060319912	0.10584881425461869	1.523499625606653	0.16931163769979157	1.703669469707455	4.469670314478537	1.3289831688102687	4.748498694961112	1.4706201978057973	0.03382238142391531	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	9.0
350000	0.37160562959942667	4.613144325349377	0.49064272706294176	1.1610464821610933	2.7379294121957036	2.080794855373621	0.018049478122526958	0.30707176407292314	2.333759186441623E-4	0.16311258466183198	0.07554483413573149	2.4643077143199283	0.3962383424563751	0.08894530795582933	1.9029533506619443	2.6394581694168315	1.7527451037079478	1.8828617889188144	0.5951302155255597	0.5489663827099951	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	9.0
360000	0.4633260783761945	2.1520051686181025	2.0262837906688493	0.708601934681294	0.5211385132823262	2.3044690952940017	1.1791779193269951	0.004062934070238797	0.2920058343710813	0.7245084119466486	2.047943762571758	0.3983849756651609	1.7743648664471874	0.054954948422077134	1.5148655516717928	2.2615702809815486	1.6076928111726736	2.378537799305633	0.46097156341573975	0.1444583148810696	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	9.0
370000	1.1288473467531794	0.45615271301356575	1.6442865653927843	1.094961159352338	1.6648806096046316	2.5662217871537556	0.03786541900011166	0.27084780491655486	0.1744273508078976	0.07553890638648261	1.3182114571329393	3.231328666790846	1.3309021371702425	0.10167650809707549	0.37825808440142594	1.8355339252629523	0.49506761764883556	3.4329404235988843	4.810090445564105	0.09695804799435565	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	10.0
380000	0.14243762881093244	0.7846932431770502	1.160562082504426	0.23314950311364302	1.6154212876385108	0.47137265905010645	3.7051312852434273	0.40705965394574	0.4503080320442141	1.153183754558253	1.6106960955543865	0.843960715998866	0.22739777345395304	0.06016052062112025	1.3442237955404148	3.3646935421787445	0.44295739139166324	2.3560187442170677	1.3386572453393524	0.8049686065402405	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	11.0
390000	0.08758063382060002	1.8616005621122058	0.7523795190645578	1.2096056369018238	0.6899011976849933	1.132505020544502	1.3359882332782056	1.5834250155568832	0.8413033102467181	0.07640414776153268	0.9053264376575807	0.21749572193141256	0.467680138920673	2.561039089879366	1.1335694333638966	1.6760659504120998	0.466555495373478	1.4283121406323	3.7914404994660775	0.4318180557143163	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	9.0
400000	0.919354542288706	1.3080100289241527	0.9799213534043872	0.5745688154635085	0.5480935973154574	1.2807228984251895	0.16704910141912105	1.231603087333656	0.19881463171705246	0.5373562340327633	0.052770762425635595	0.8993165159159489	1.9963114237065047	1.3151671877132831	0.9149207462074305	1.9441544844785854	0.004175728735566652	1.96222050495688	0.0835637427256455	0.07412363259501577	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	11.0
410000	0.41379753774081457	0.08051585915200143	0.9920220838447903	0.7947862099870509	2.3146744240441324	1.938055799377983	0.6638968771129024	0.21051745622527906	0.41100399198805326	0.18156390933790909	0.6799134022653766	1.074557674380399	1.2266919461073862	0.6207855506383344	0.7125450593725243	1.7952237834683038	1.1492038141321337	1.2705485183584544	2.1297003807306525	3.668785235703912	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	9.0
420000	1.0489500849170967	0.5178967299941456	0.6492603707228815	2.0443262305329544	1.9223515424975082	1.2274645055237308	0.5334662716123546	0.20756204214799048	0.07395664366458948	0.1360502124112566	2.2858906260664735	0.2862445196915011	0.3192679917218532	0.7040391168056314	2.399434476282665	3.0848307146650242	0.44599241645456666	1.3856929527029147	3.2084262692205336	0.05554323737168352	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	10.0
430000	0.3658009400380187	0.1654817792378377	1.7909598313488106	0.4791939028070913	0.8858312591894901	0.8593564335612858	3.742225667287918	1.830006092980702	1.037778670398032	0.28597804649749303	0.43460789909594116	0.49110701607658747	0.5450913781647863	0.2975415454626992	0.7003175993681386	2.614971275379195	0.4634466528666837	1.7492472175402072	0.2313250546175556	0.22901638648761416	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	10.0
