# BEAST v1.10.5 Prerelease #23570d1
# Generated Tue Jun 16 10:28:32 CEST 2020 [seed=1581070566592]
# -beagle_cpu -seed 1581070566592 HBV-D_phylogeography.xml
state	joint	prior	likelihood	location.clock.rate	location.meanRate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	location.branchRates	location.treeLikelihood
100000	-445.98408607509987	-51.04340453226001	-394.94068154283985	1.6450582280164887E-4	1.6450582280164917E-4	0.610336280474304	2.301431655292423	0.523183751830668	0.14940284446333074	0.7757687724703599	1.0522764620151197	1.1254493414425362	1.2051102338106583	0.19986746376175377	1.048418007995391	1.135065029488781	2.830932753434115	0.17554221746855142	0.7105024913127462	0.04040981730903358	1.977446649208435	0.5381328207605114	1.2303484041279422	2.1961701836984218	2.2651376901568003	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-394.94068154283985
110000	-426.8214020509241	-50.81915309206076	-376.0022489588634	1.605663155905298E-4	1.6056631559052976E-4	0.5885560760050697	0.633204948508372	0.48675628083537187	1.6355004504627808	0.6845014927685067	0.1802046683760991	0.02556738306743348	1.380572002568723	0.5343924198378693	0.8466679136346869	0.015882769685121065	0.9422996741336527	1.6337880735540913	0.7025338799643314	0.6801926904896087	2.3776673391172753	0.03365084534297049	1.1884166095162376	3.1579899086810452	3.8396190162044643	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-376.0022489588634
120000	-475.2198085371824	-105.93589040681842	-369.283918130364	2.233701585955386E-4	2.2337015859553872E-4	1.5282521570390708	1.0323274529432183	1.0098055478095636	0.1864996113501498	0.5388233182113399	3.2872889128867095	0.6422582073573918	0.20790347121185968	0.9742036287755492	1.4046147539351677	0.09196603866142106	0.44548453122050397	0.14175236023106802	0.7596531686845037	0.3011504347444582	2.2952960333540973	0.6391080835851314	1.9473532530106745	1.6234211364814681	1.4921788880689113	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-369.283918130364
130000	-430.7143487141186	-70.93571099314076	-359.7786377209779	2.0026427557665348E-4	2.002642755766543E-4	2.0869979815545308	1.4954176387125608	0.2624365505525534	2.1432300875209913	0.7809324887177501	0.046987334274477564	1.8427870974479919	0.821529276800175	0.17837287577326436	1.5912589328093525	1.4935719577890425	0.01262939694613013	0.6412198055600766	0.4370951457619231	2.6258033147529014	1.4544787534595978	0.32268004217597	1.6896234289012062	2.3001235742636346	1.3155147626740815	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	12.0	0.0	-359.7786377209779
140000	-452.68642322447874	-53.196592915889966	-399.4898303085888	1.2363400068365942E-4	1.2363400068365947E-4	0.2542019401252907	0.29167250567841346	0.5865464943452795	0.41439960949049387	0.5419264899392799	0.042144519362895407	1.9289243402583103	1.2547565750506828	3.1943688801796277	1.7724475540800282	0.6584773784224276	2.0277296055856957	2.0351044802736395	0.9199692498986407	0.9968884257793477	2.9251799154586013	1.6849586190934294	1.770389923497973	5.308155622878633	2.2627028820696764	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-399.4898303085888
150000	-427.91618397480715	-62.90386022653356	-365.0123237482736	1.6508296477597484E-4	1.6508296477597492E-4	2.157298929200015	0.026875025961831864	0.37307520440048425	0.25482775526537504	0.028546300783038655	0.7228925587092693	0.10593992763681413	0.519476390861598	0.3220523390422217	0.4819064652267709	3.185880120846269	0.9455958574083254	0.15966885654673527	0.5842570053467949	2.295137336515175	1.9153648170172852	1.5717053290415897	0.5123097591647995	1.5123340220751271	0.8771982178959881	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-365.0123237482736
160000	-451.27977950273237	-49.2506860187909	-402.0290934839415	1.5990507732528898E-4	1.599050773252892E-4	0.12427874481057409	0.09628298307062488	0.32214039011998113	0.6926112507442364	0.1738370514666513	0.17073873609258702	1.229678337078896	0.9420768632135965	0.5523429951192479	0.3617453922562342	2.141382007916372	0.6941346071223948	0.06909023653157662	1.025692910810453	0.12028244187778578	2.33998090647544	1.3224882679695051	2.2182150391614965	2.704611164394653	0.984127239547143	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	12.0	0.0	-402.0290934839415
170000	-449.0913572885388	-67.17055916086201	-381.9207981276768	1.558422643146394E-4	1.5584226431463935E-4	0.4364623000835812	0.12978563162379061	1.5315287858528142	0.20903801936865454	0.9929330515788781	2.2786320583748823	3.577444816202836	0.507268791503342	0.5354433868990273	1.1533269845150687	2.4069510906505105	0.7872630131247412	1.6685503230328795	1.2469770596780236	0.47166831248706237	3.127002718629822	2.7701771040136545	1.4753889020325819	3.3523791945560717	2.517501559156364	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-381.9207981276768
180000	-437.66729485486064	-49.82881059717521	-387.8384842576854	1.3240613708614832E-4	1.3240613708614846E-4	0.5317915927325483	1.7992677006813607	0.8046196667928375	1.0765898506291596	0.898434700210936	2.450110832329877	1.2083108722063751	1.0247330132601626	1.0438788137032649	1.8060365041139443	0.6867750499628769	1.1513110757582414	0.3681745352654436	1.6726340526216639	0.01741430829976823	2.509579969143196	0.21769097010800917	1.3036865919764242	2.113337399187262	1.9222916613264707	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-387.8384842576854
190000	-454.74479383624146	-77.40032468295541	-377.344469153286	1.3519592694089222E-4	1.3519592694089148E-4	2.083408292729048	0.08592473985161295	1.171125740073574	0.01305945140086275	0.44153761815070486	0.6267447994714703	2.029321901273343	1.2339942494146892	0.6996762807012059	2.206285366792394	1.2675658505828447	0.4794484722296121	0.2725061165811493	1.1869549565395603	1.119979417093036	6.230625801305024	0.5800669957265481	1.4890648394092754	3.7873344678128693	2.3603136536223492	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-377.344469153286
200000	-436.92735487107393	-64.62070530889385	-372.3066495621801	2.1268890386768336E-4	2.1268890386768363E-4	0.8205241803026471	0.08458133307798407	0.5929031809955569	0.10633172596449844	0.39051796399197075	2.2509004556888805	0.039690342810427666	0.4018244214904508	1.1436010730608863	1.5130358643227841	0.8715562106540945	0.13670042710586633	0.9994787472431074	0.3452276753369684	0.28400288222260844	1.5739706884979603	0.03246340702018608	0.877156534413704	0.8646895208234874	1.0145366183222204	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0	0.0	-372.3066495621801
210000	-445.24235794055215	-63.1475393238715	-382.09481861668064	1.591630369764737E-4	1.5916303697647373E-4	0.09696581975758867	1.6693934766177208	0.48416447743182056	0.04897402482087769	1.475135052958051	0.500407261605817	0.36133724963474045	0.5417857404269847	0.6249419975944698	1.6323885245865888	0.711234195343021	2.8366549882328638	3.1078731366883026	0.5408490434528401	6.391610382760764	1.3148457988080786	1.1897591942815393	1.0392196373431122	2.353223412563811	3.164579696065883	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-382.09481861668064
220000	-449.3346044845866	-57.274503749036796	-392.0601007355498	1.3134133984133364E-4	1.313413398413335E-4	1.2088242118921473	1.2070749618424939	0.6773910024137365	2.729848333575983	0.40850459517174315	0.34846828200138347	0.871911325821671	0.1722926441662605	0.5313895073017546	2.1745322132158136	1.8771972356781983	2.798274060149467	0.6527575158506016	1.2897585223437613	1.0447042679873533	3.4439986143184815	2.095907372107983	1.5515781274652536	3.6395449099213786	3.530939222127882	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-392.0601007355498
230000	-419.0872753183505	-47.46649331117602	-371.6207820071745	1.8043790879038575E-4	1.804379087903858E-4	0.00920477386472065	0.3762579180114138	0.5322769127222178	0.4547195291253587	0.3967763746175992	0.7268637330821288	1.5032422277896025	0.7065487752550667	0.18805875389437052	1.047864349916996	1.4160454848892534	2.333340627085986	0.29551975928791624	0.8995150580479113	0.1272949754915379	1.9673827334947303	1.9577469874541764	1.5794982853993769	1.378332420069128	1.5027155534782133	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-371.6207820071745
240000	-424.8572572081583	-59.515564701146275	-365.341692507012	1.7600680559195958E-4	1.760068055919596E-4	0.11870159273413576	0.04952853290796878	0.17657764124161707	2.3631006661122984	0.13994415632861196	0.5190756659372501	0.22826795516384576	0.6552937422956185	3.995588990657678	0.8398530756337372	1.0236452951858037	4.647777893305659	0.5301488811010538	0.6130211574737866	1.5330373688599483	1.2377605460607854	0.699825442074246	0.7906964011828959	1.1304444541110246	1.6068423685413251	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-365.341692507012
250000	-439.0582273591002	-61.234928846690806	-377.8232985124094	1.6810614774665224E-4	1.6810614774665224E-4	0.05932696231134966	0.3144694207626522	0.925867056210477	0.6543080026440453	0.5060918222189771	0.8099001428538931	1.0125657928816014	1.3597943282703564	0.8612682181059054	1.860027142748318	0.8089753689609287	0.447800620401497	4.087006031385964	1.460021721509012	1.983119792808181	1.3634942155655265	0.7470202481886915	1.2791903891194039	2.9544695493734054	3.0899619064366033	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-377.8232985124094
260000	-435.3693883026175	-49.28648223156803	-386.0829060710495	1.3639455294388637E-4	1.3639455294388615E-4	0.5527287699433302	2.8493394004254173	0.9430122079339432	2.950112674742074	1.0709615375882457	0.3651931324471127	0.19160526441717185	1.153835684163775	0.14504895229224754	0.4900985661517455	0.2859025639671001	4.589633948041246	0.3117020572307849	0.3955340270607746	0.25717224377256076	1.5910065232754573	1.9037057137484568	1.9504278835427247	1.8364385465184891	1.3249640869730746	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-386.0829060710495
270000	-432.0057390732257	-49.74867568060563	-382.25706339262007	1.340420346761939E-4	1.3404203467619387E-4	0.39059725592170963	0.8039173406591192	0.5223171442624744	2.7386748867384685	0.1425241141485021	0.6454415348573068	2.62414334007055	1.0910005867963664	0.09651829130259956	1.010240905033115	2.1471272772329337	3.3180008375333454	0.09548397227452605	0.7629090253601646	0.08105181654458678	2.406521595095578	0.6619620158292142	2.48786786816067	1.953957529763747	1.4461816755436292	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0	0.0	-382.25706339262007
280000	-452.72504639835165	-68.05694401634372	-384.66810238200793	1.7351396828003377E-4	1.7351396828003366E-4	0.38182084249212705	2.85454752195751	0.567859701872466	1.0308634222702655	1.581356082696803	0.44269147589567165	1.9386479446727334	0.47254466071635604	0.6150459553700074	1.055275696742679	0.0985127711393095	4.330793527039819	2.277268387601549	1.1115828631117013	0.3950869289918856	1.2986492866042088	1.54964381365324	1.506817077792265	2.2684950943768563	1.5408619355968836	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-384.66810238200793
290000	-456.01896604228057	-71.54294432198938	-384.4760217202912	2.0350565894825134E-4	2.0350565894825152E-4	2.1658495254742456	1.0036418831641631	0.930675362724578	1.6544470383006098	0.3618192186881917	0.15568916043249895	0.024457828684140124	1.1767520865109238	1.9695416597263269	1.2843486961974064	0.05387550029627638	0.3572268902017467	2.7231024467501137	1.0739295448676565	0.0682393482578153	2.926875854283719	1.2452596493898649	2.0863452811916865	2.800321298964125	2.318008224323767	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0	0.0	-384.4760217202912
300000	-454.1666825296247	-70.59720657667881	-383.5694759529459	2.0672971444082581E-4	2.0672971444082603E-4	0.534432926702725	2.067410139709493	0.7526243737545472	0.9821486946310672	1.1496109415669329	0.5694749381510952	1.7931712763698922	1.010596845417569	1.6257580248984673	2.41598754193295	0.18110043268385265	3.9909147470713604	0.14715313091982576	0.6847497066223058	0.29373647688546695	1.4009110509864027	0.4060461787607362	1.2759105554636767	1.7720492634751834	1.4280310845134438	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-383.5694759529459
310000	-444.7892082358693	-61.54266985810554	-383.2465383777638	1.566706075467446E-4	1.5667060754674466E-4	0.28083272426653944	0.8780924749746789	0.21873260208728307	0.6037619659852469	0.06498285384646495	0.39672906203820907	0.2568818843433876	1.1615270477055775	1.5737272824929867	0.9687205569701266	3.9332949886409816	0.5708696364676299	0.2763925640954946	0.870340076900451	0.28103273823371994	1.994137353861264	2.9701648159679066	0.6322094176227281	1.8626258437378629	1.8452749955934706	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	0.0	-383.2465383777638
320000	-446.58628778622176	-42.049792435571725	-404.53649535065006	1.6085349735284478E-4	1.608534973528451E-4	0.9740167699671117	3.1393827578048863	0.1960522397461989	0.24974806370516942	0.15934796282225822	2.2728470381227237	1.257175368908832	2.603895328852283	2.877557686859565	0.3278703640601656	0.19857036051545937	0.27005413642398135	0.17602071733170377	0.17053289564075857	0.8093016524028515	0.5144036458355731	1.037681417111621	1.2199409815312634	0.6127117201438617	0.7216727890189626	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0	0.0	-404.53649535065006
330000	-452.613800242175	-76.591210679012	-376.022589563163	1.43712630137872E-4	1.4371263013787213E-4	0.6325779139841534	1.314539783946295	1.626209087469803	1.5591859919157967	0.8458992709302545	0.6408962105769773	0.7463025279848255	0.4479230299220933	0.6232114855855205	1.3153858567655634	3.223350582092553	0.6911562160478245	2.939299338390822	1.6057575843847738	0.1258815794007022	3.0680458292586206	1.4700473942166399	2.022762231340057	2.39337825346023	2.7575804274263884	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-376.022589563163
340000	-422.1448670141955	-43.775729371722534	-378.36913764247294	1.3460857722801155E-4	1.3460857722801168E-4	0.43898788651281695	0.7084867954973476	0.5143169844226965	0.19052635557492759	0.14879739397715613	1.4299703400459984	0.5339959817175349	0.36494697531247294	0.24053693225704484	0.4862403614107544	0.07397804268956631	0.6625918653676297	0.03935552802124497	0.8233491339386667	0.6206441528872302	1.3721590215103203	1.3075357037448385	0.9424457653099403	1.8471076686531809	1.1412242019227	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0	0.0	-378.36913764247294
350000	-421.5388787505731	-43.4552334628485	-378.08364528772455	1.2213166910812612E-4	1.221316691081262E-4	0.4816329921838985	0.23100683550104817	0.31549819980930666	0.22042569025933495	0.105321858307139	1.842509602874805	0.273825285328272	0.28443170305843	2.4259516894586617	0.9308110249590903	3.0221692195534	1.0014224228965996	0.29519246113685915	0.6986455928942069	2.7076581914062965	1.6452797270232025	0.1664240636603527	0.9603442840646113	1.8041960254621854	1.6973147369374628	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0	0.0	-378.08364528772455
360000	-428.7228470242401	-43.102186902401115	-385.62066012183897	1.2241420682810347E-4	1.2241420682810314E-4	0.2462800265244358	0.05861053302831613	0.8365547215529118	0.0416937205369477	0.24662437844179455	0.003809161864562855	1.8253398219303618	0.5319194571468703	0.7024376029407556	0.6255367421655245	1.1888819864039886	0.27408348275460365	0.0749613649087931	1.3807823740342182	3.5790281696478856	2.0288143092740625	0.9588930348050775	1.445243484813368	1.6787850532607014	2.256440214552602	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	0.0	-385.62066012183897
