FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Africa	Americas	0.6643121742078358	0.1692150866462793
Africa	EastSouthAsia	0.12424886333433995	0.03669724770642202
Africa	Europe	225.2787203330743	0.9857288481141692
Africa	WestCentralAsia	0.16412423462392065	0.047910295616717634
Americas	EastSouthAsia	10.014664606927607	0.7543323139653415
Americas	Europe	0.2974924119323323	0.0835881753312946
Americas	WestCentralAsia	0.32542198090230007	0.09072375127421
EastSouthAsia	Europe	4.580534842224609	0.5840978593272171
EastSouthAsia	WestCentralAsia	3.0868076984625077	0.48623853211009177
Europe	WestCentralAsia	396.68391007977556	0.9918450560652395
Americas	Africa	0.313398669248349	0.08766564729867482
EastSouthAsia	Africa	0.17885824278370707	0.05198776758409786
Europe	Africa	5.006073388994046	0.6055045871559633
WestCentralAsia	Africa	3196.3020092757592	1.0
EastSouthAsia	Americas	0.09230752818471011	0.027522935779816515
Europe	Americas	3196.3020092757592	1.0
WestCentralAsia	Americas	0.13142973613574133	0.03873598369011213
Europe	EastSouthAsia	3196.3020092757592	1.0
WestCentralAsia	EastSouthAsia	3196.3020092757592	1.0
WestCentralAsia	Europe	3196.3020092757592	1.0
