# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Feb 26 13:45:31 CET 2020 [seed=1582721128794]
# -beagle_gpu -save_every 200000 HBV-D_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates
100000	0.11580108102447645	0.10963211552084692	0.3222893731618136	0.7487946608784934	0.5248375692704804	0.7713290288029538	1.6570696254438984	0.4159523616788074	0.9069031576545168	0.40676005421902245	0.15228873052537106	0.004857262159837532	0.2688343788807774	0.34350170954456305	0.6111487603921157	2.3894990144307164	2.050070461924717	2.0069288673401218	1.866940759783389	2.8588996812289937	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0
110000	0.6773124357062439	6.809113123727077	0.9938770196502636	0.3971529135417375	0.6461995659021993	1.170880920423997	1.140517612126285	0.7379268293710893	0.38180931737607277	1.7836427399186714	0.4128121720984562	0.6310547781122093	0.3854860804681132	1.1223123180387038	2.101915367307247	2.4447763606396054	2.6194091844936613	1.5703963124668912	1.568506718711066	2.520270549592037	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	12.0
120000	0.19869765446762683	0.4740535229174787	0.5262703943256594	0.3384305388370131	0.06202732998022543	0.4708243866854579	0.8965287099946142	0.577691195335078	0.9727975490658369	0.866385340475386	0.5792974338030473	0.1128074794786763	0.5383539007973993	0.6161655452647222	0.36320455809908714	0.8712896166403228	0.12442287827567701	0.4932435676520124	1.1905292454622154	1.1153937433783165	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
130000	0.4199047940071951	0.6231945003028738	1.0186047205847866	1.1379454826433155	0.5321474322162475	0.4665077140222268	0.19687160799345724	0.1696303416949957	0.08384628828635932	0.6229043244624083	0.05349740827265536	0.8196441183286423	0.7761684994166375	0.788762498262896	1.0838018497357813	2.031747566918123	1.7047188022344675	2.1269578364332147	1.1482556071868084	1.237123550463224	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
140000	0.6024488759012762	0.10121110122433946	0.5950266514757983	0.01399378258490589	0.39061252008435027	0.27774023879872317	1.4252474561649353	2.2770584093674233	0.4674356626456083	0.0896938539659226	0.5882546103052464	0.4630176462499156	0.1014880413321064	0.43133209473199113	0.1865337330241888	1.4215325227930697	1.5614982890745452	0.684938405400231	2.0807554659018805	2.644073460221742	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
150000	0.6280299986627407	0.2956770971522424	0.5710068050639588	0.6136988191263059	0.5259819061163982	0.0106318317229567	0.28877129025828535	0.4294930820689852	0.19766612123454444	0.42643484591869424	0.22309963727013588	0.26394249256706515	0.38242651097685554	0.34194496906493366	0.17350038800046913	1.4861346770109372	2.2595992015567115	3.1347526572668656	2.374290714849014	2.0017438079830443	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
160000	2.823814764033431	2.55087359880005	0.4102214747890058	3.0509833779917366	1.557100910936613	0.3280232287822077	0.22611688514784048	0.8868274737281135	0.5078945760043201	1.81294883712906	0.4665452843629902	0.07862233621419605	0.017906656728378142	0.7394390786058033	0.10721128278013067	2.2387005874906976	1.1017451184629001	1.7939638012385724	1.1938372826010124	2.6345760327866645	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	12.0
170000	0.13682988792490247	2.382837332001713	0.4290527406130765	0.2819652985736059	0.24771992969724402	0.09238075916311911	0.4091438695487962	0.4147813487629893	1.8343748824129853	0.8480481412831608	0.35332260354443634	0.48290240268888973	0.39652084142434285	0.29581263835548793	0.07953699950168809	1.3214716806566913	2.825526039966074	0.968634810055993	1.3601400014332183	0.9247220625949127	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0
180000	0.10962965023033358	0.23331101342695673	1.0402606006614885	2.8758647583181856	0.4179108736892764	0.5972378579074641	1.6265905375036438	0.6729732858704721	0.0687198257690439	0.7553338460692296	3.8386237624940893	0.6579099808227029	0.2176468715804551	0.8888529935514919	0.4999485735177741	0.934206507624654	0.6975512608376175	0.6945919272005082	1.9337517106179158	1.508496492768766	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0
190000	0.38705911191843895	0.06670068924773642	0.3639374188128036	2.2180090829611387	0.06588537392348856	2.305730738528316	0.8547520160842681	0.17650169382280823	3.0284111912233977	0.23501176445693073	1.1779949817522635	4.681752945358108	0.8411946474972385	0.7710870131158899	0.6174512036289779	1.575275236910366	0.23371242103597728	0.8785845646713489	2.0740400781396895	2.1293367482220042	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	9.0
