# BEAST v1.10.5 Prerelease #23570d1
# Generated Wed Nov 20 14:43:07 CET 2019 [seed=999]
# -beagle_cpu -overwrite -seed 999 -save_every 100000 -save_state checkpoint.state HBV-A_ancientDNA_skyride_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
25000	1.0235880830816895	1.0340627424513698	0.3504462868741211	0.7082438621528594	1.0421816067368335	1.9477334121759209	0.3969350745165501	0.6408931199944913	0.0789825648496442	1.8145163658556385	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
50000	1.2234358584521443	0.7982568121721787	0.28617617692519143	1.4124201779735337	0.7829397051421859	2.350321026276997	0.6984250330359607	0.7217688380578392	0.03820082175744511	1.7158097347859198	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
75000	1.5520462788765088	0.8287500147760851	0.17484354979789535	0.06942947299576954	0.9539523092008896	2.2910747466594814	1.7454051976668024	0.8945725348722547	0.04224698617098947	2.573048270131778	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
100000	1.3661061476772103	3.6894627698689852	0.48521644675646275	0.23555580306306229	0.8677185698841362	2.5185824866318627	0.10289304846219323	1.300158601012864	2.151646410290437	1.8985196973209455	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
125000	1.317151049467819	0.6978897443644098	0.5105100416009549	0.1646632988451033	2.092469011539828	1.96883394889383	1.1652080173996562	1.663346518023106	0.027438702954313353	0.5134838368679597	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	6.0
150000	1.358363545941287	2.298713479904161	0.8914087946785623	0.09466179378824673	1.8388989169579615	2.7283796323904816	0.0166895744527564	1.514536750412876	0.1303180007495341	1.6476778428643755	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	7.0
175000	1.3822554816932133	0.7669517955450988	1.1100301117041367	0.33844780833477617	1.7398790921555873	3.680539791855878	0.14541076358447294	2.527183363918942	2.0250633878395834	2.333165909607344	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	6.0
200000	1.6517747003777683	1.388196783784791	1.3787477576928995	0.07995789767450989	1.5913743586741809	4.497476155233227	0.5201471339367069	2.5824487204614637	2.293407745691626	0.04570432485921349	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
225000	1.0501069646048826	2.2014693109718695	0.5129393919571701	0.060936898864459646	1.008265585884829	1.7277492772886203	1.219118652312756	1.3870759821066199	0.38462678579318965	0.06202929737588079	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
250000	0.6890708993753651	0.767153619723962	0.42242364517153314	0.6559343845271318	0.7710156807472051	1.4752914009425293	1.2176883105239364	1.0507266123298926	1.1165649348954096	0.04402878252878754	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
275000	1.3710893711495975	1.2633941998079217	0.740609111204587	2.00931705089377	1.1973967690770906	1.6030648397335812	0.735624823751664	1.3074341727326393	1.022861831279774	0.09042598041109154	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
300000	0.8076375269066095	0.021852641114000315	0.6087347371467428	0.11819362414446406	1.231167135802437	1.5123089595048993	0.40350164341103884	1.3085754072804114	0.4135187995085149	0.14092611281655537	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
325000	1.2717917361125894	0.46295617033312775	0.6248702828832924	1.435916716185293	1.5705214731653205	1.3056246192558305	1.9795017329864253	1.3648262534888902	0.4640972316033359	0.1428178699233704	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
350000	2.121995550099098	3.5912370184506033	1.019915129669038	1.9710774662157184	2.2108991589184916	3.6284257260246617	0.6867826739159739	2.1676348895947473	0.29960199077208544	0.23447012779425982	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
