# BEAST v1.10.5 Prerelease #8a10723
# Generated Fri Sep 08 15:09:58 CEST 2023 [seed=1694178586051]
# -beagle_double HBV-A_updated_geo_priors_completeHistory_posterior_run2.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.root.frequencies4	location.root.frequencies5	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	Current Tree	c_allTransitions[1]
100000	-225.72626490195512	-15.264022031408874	-210.46224287054625	0.2702017413627316	0.1743524324868954	0.03162439223238406	0.07944997258603514	0.4443714613319536	0.06631419626872362	0.00539216884689687	0.4557545506415178	0.12076407961265911	0.3227998089693114	0.05038521970639712	0.43451661075282155	1.2691212859907692	1.0419482975584478	0.11059592260662826	0.017475110594187708	0.06201859133841915	0.30071815338708485	1.1085091070736117	0.5786809178632345	0.69918462449457	0.983778297013023	1.5592141110047437	0.27529654749801175	2.3980148148449443	0.4136991903553948	1.7370387779489533	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	17.0	1238.0	70.0
110000	-224.71299885424736	-13.807647917080075	-210.9053509371673	0.22971599349920163	0.157426166108007	0.04211322447837144	0.10157433992748556	0.4691702759869343	0.010772087801986041	0.0040965144008754725	0.6115373464255827	1.051435329534409	0.5914706280418088	0.7136067814739543	0.0984353612651027	1.308325960694956	0.8318956579722483	0.9923462113676983	0.0052878704259716885	0.08577126337017486	0.9569303302469229	1.0018794658099797	1.4876739988241892	0.2798347567579681	2.229456140335647	0.9916730490816104	1.12062273613672	1.8798695235042893	0.6203242288366374	0.26698057298875666	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	11.0	1238.0	80.0
120000	-233.34470612929306	-16.469080133466306	-216.87562599582674	0.2203569740953326	0.14734913144529985	0.11924364270422694	0.026873319171640472	0.4861769325835	0.061950507607859084	0.005702454231567316	2.3237034822017044	0.038258193597168644	0.656264107736001	2.1273051982001823	0.429717542111979	1.2054550505066985	1.6598327616086763	0.04510285399752299	0.26334737568138583	0.21391952583040102	0.35000696385616614	1.0596133111111892	0.8661518492296896	0.9789637924263414	0.8522606324539818	0.8920891370538998	1.247170758622913	1.012588684394965	0.32031563936774093	0.7009867750816654	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	12.0	479.0	83.0
130000	-240.21603705899662	-24.325981093873835	-215.8900559651228	0.25188639196537294	0.14823572316816902	0.10925540430278541	0.08096734606850524	0.4096551344951673	0.17478246487192486	0.004871662883877147	0.3559252379547849	2.4409371242894675	0.6869243671305468	0.20724416920402378	0.1812457977221683	1.2714341751616707	3.831893014377486	0.7253156792668592	0.6574374371117286	0.3498352295023368	0.558410631269532	2.8504043770372154	1.0774959363808831	1.7461404111129601	0.5587382763791419	2.031388402167009	0.5619674311334889	3.0264279726476175	0.26974215000448487	0.16299711188566912	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	12.0	1238.0	78.0
140000	-236.5591065724459	-22.97156121857233	-213.58754535387357	0.22040373388458334	0.13017508916198486	0.10574767168845009	0.07211660635213792	0.47155689891284364	0.043923648882617974	0.0043223743179090605	0.6445957484658009	0.16385449300765187	0.8473468978833194	0.11659603588604384	1.7782705266146248	1.7688637973235637	0.12717532875839674	0.9126284454233103	0.45336487431083	0.14636759542823008	1.0491193743380771	3.226042056719963	1.1013574790016325	0.8803061401929749	0.8898263428558277	2.2640710797102703	0.10707443676786613	2.7201540200959387	1.2132041100870363	3.2549592646196577	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	14.0	479.0	68.0
150000	-228.8400980504538	-16.811714487710564	-212.02838356274324	0.18586914975003369	0.1427606771521376	0.08112448967192337	0.09989827531523793	0.49034740811066746	0.0018291062502057119	0.006648208979313111	0.34915182672349204	0.7517828703394764	0.7446324091889478	1.9583696757850635	0.21016725817768744	1.003967646141752	1.0960595990269841	2.8546460563694103	0.1800163596293282	0.591475336631068	0.31831513827056346	0.19025029280656952	0.12088700324125072	0.6485380842155504	1.4509348395791117	1.2557524607774093	0.5853441513439723	2.2348841023452497	0.5790073068823187	1.6338646186861063	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	14.0	1238.0	77.0
160000	-241.8237996579394	-28.717115817976143	-213.10668383996324	0.23259456049480723	0.023483093027571147	0.08200920972958035	0.08455692911106878	0.5773562076369729	0.14900321802986713	0.005587858638416874	0.3988766416660562	0.2984874758394188	1.4291869480657162	0.08574442214108777	1.3456602043642416	2.759023448348578	0.3794180826689214	2.400462407805067	0.548601773735183	0.3197043530544753	0.07978015483767682	0.25956280540476045	1.4252325141745463	2.6628042179083975	2.5270968697538203	1.9108313211509853	0.09325026284674642	3.7009947459770327	0.33767981684919013	1.2955420749059627	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	1238.0	68.0
170000	-234.39472188486576	-25.03963460303179	-209.35508728183396	0.2561013690947803	0.030721680293222697	0.04770948116605237	0.05471629349731531	0.6107511759486298	0.003009311125060933	0.0056854907282844645	0.412859474709616	2.0333197244423005	0.8211217619900597	0.3423765995582749	0.320750597109128	2.678833331391551	0.6625676188615964	0.03630904336814211	0.9539760979968845	0.3676227991414388	0.11545822097344534	4.134590104155187	1.0752347277498218	0.4664858390308684	2.8652778277235216	1.9051971388427704	0.782806916624136	3.770048749275147	2.0932061245842863	2.744721729087233	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	12.0	1238.0	79.0
180000	-234.996894789057	-24.585690421735	-210.411204367322	0.2632570351939486	0.02831195362716555	0.017690174848793667	0.0624993317595146	0.628241504570578	0.15092007873798113	0.0053407625372447936	0.17780530404068656	0.47696150243184365	0.9808709347928072	2.916434059987091	0.3457757394926627	0.8638184596347404	0.06151520199040294	0.23537402452428696	0.46674894911521464	0.18981201393990874	0.06720209668449352	2.1038454656801573	0.5316246983868299	1.2136801937865977	0.7340632775050375	2.0527892783905495	2.0490187776894686	2.393573906187421	4.663782394330439	0.9126849645163598	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	14.0	1238.0	65.0
190000	-240.48244173158366	-26.78585735672977	-213.6965843748539	0.25230043221608245	0.03738284623087817	0.03353368080851352	0.05340908463535289	0.6233739561091735	0.25340328696705366	0.005866089731475044	0.6541126485369281	3.771108874062904	1.2581493788526457	2.961860024076416	0.3761419320962264	1.3340930159080344	0.40235637825034304	2.5593379624797215	0.461744270851161	0.5568056476325193	1.5600240072329763	1.049015332519317	1.7719827920418665	0.06534406345535117	1.9820435405987733	1.6922140514761204	0.09595751569906717	2.2036367659514275	0.4465579461493372	0.2175479869305502	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	12.0	1238.0	63.0
