# BEAST v1.10.5 Prerelease #23570d1
# Generated Mon Jan 06 14:57:04 CET 2020 [seed=121212]
# -beagle_gpu -seed 121212 -save_every 250000 -load_state checkpoint.state -save_state checkpoint.state2 -force_resume -overwrite HBV-D_with_ancient_aligned_constpop.xml
# keywords: discretized_branch_rates
state	joint	prior	likelihood	treeModel.rootHeight	age(root)	treeLength	constant.popSize	kappa	frequencies1	frequencies2	frequencies3	frequencies4	alpha	ucld.mean	ucld.stdev	meanRate	coefficientOfVariation	covariance	treeLikelihood	branchRates	coalescent
0	-132924.81454135216	-20780.564554888257	-112144.2499864639	3210.7927466745805	-1198.7927466745805	267620.9080458203	63042.964433986584	2.8637777382215175	0.33385008561022794	0.25067110421141975	0.17400908984475436	0.24146972033360087	0.3330517497485667	8.674989585958312E-5	9.55215141609232E-5	7.47496228459287E-5	0.936824733778889	0.02183478908397941	-112144.2499864639	-11269.5350994549	-9288.390767673784
25000	-132905.19365868924	-20763.76069495119	-112141.43296373806	3209.0936562550746	-1197.0936562550746	263545.9241132552	64451.12855284652	2.7882243590500355	0.3299894047555268	0.24322749967999352	0.1783036796555561	0.2484794159089265	0.3280087898010988	9.18288700167651E-5	1.0255594833068957E-4	7.83265407225857E-5	0.9253879278014803	0.021072090235157877	-112141.43296373806	-11269.5350994549	-9271.490127301819
50000	-132908.31373228092	-20718.696659439174	-112189.61707284173	3252.581331006422	-1240.5813310064218	251586.67818306078	59148.95796590878	2.901312355761926	0.3331950292194742	0.24790536471684227	0.17897948830721344	0.23992011775647315	0.3354329002629525	9.410198717531624E-5	1.1073088350796081E-4	7.945876017918544E-5	0.9556152296012799	0.01163134246731753	-112189.61707284173	-11269.5350994549	-9226.311946678772
75000	-132964.67682000133	-20768.541184001275	-112196.13563600005	3488.2519362339144	-1476.2519362339144	267225.8845545477	66562.98228057951	2.843648891201315	0.33794296829864495	0.24478465646952943	0.1764038323969081	0.24086854283492065	0.3376437035387041	8.755438929582924E-5	1.0109247344017167E-4	7.463209761817663E-5	0.9465307229918719	0.026641632882729586	-112196.13563600005	-11269.5350994549	-9276.343837247481
100000	-132982.41088815275	-20783.385881606246	-112199.02500654651	3336.976370301562	-1324.976370301562	272038.61325779237	68095.39545852011	2.9057731016368327	0.32337027696219783	0.2502172066474605	0.17907068063954348	0.24734183575080135	0.3472087736636567	8.413946471000743E-5	9.86773122719425E-5	7.081028055310322E-5	0.9764310486962308	0.04278144881321151	-112199.02500654651	-11269.5350994549	-9291.239850506947
125000	-132915.4072078999	-20732.980232328664	-112182.42697557124	3091.0443139892327	-1079.0443139892327	253016.34456007063	64295.10429661282	2.8083157236080347	0.32894459730722814	0.24797827174211437	0.17754752416350938	0.24552960678715108	0.33479557073042737	8.9928630024207E-5	1.0475891513251426E-4	7.647633448152634E-5	0.9596312287385149	0.07015955137284427	-112182.42697557124	-11269.5350994549	-9240.738360571078
150000	-132897.65907955592	-20692.57276638288	-112205.08631317304	2777.9418359562637	-765.9418359562637	240965.8578453534	57081.89993500952	2.8777283356949144	0.33244276712533416	0.24399584200600363	0.17894282304212694	0.24461856782653815	0.33892351139216165	9.377798467712699E-5	1.0957624559514709E-4	8.019477847737772E-5	0.9735534962166034	0.058112978917897636	-112205.08631317304	-11269.5350994549	-9200.197813238357
175000	-132933.90484101902	-20719.457117310172	-112214.44772370884	2868.9772581790908	-856.9772581790908	251632.47742610215	58449.240389111575	2.8196867408231734	0.33213405413589353	0.2491593375660043	0.1781881072175944	0.24051850108051065	0.3412352159732748	9.238002001869797E-5	1.0940131556974727E-4	7.752322687432203E-5	0.9764240192200284	0.0385401343763843	-112214.44772370884	-11269.5350994549	-9227.13438754304
200000	-132920.16953882566	-20751.290523040367	-112168.8790157853	2872.664222402859	-860.6642224028592	258107.66373543174	63653.63963960126	2.8237628618765505	0.33457697750346127	0.24724950494794293	0.17844523907887894	0.2397282784697196	0.3338950389020502	8.845789813377816E-5	1.030318281618339E-4	7.488944264476503E-5	0.9851807350083591	0.015418900095471574	-112168.8790157853	-11269.5350994549	-9259.083746321894
225000	-132864.99661630855	-20679.437711282873	-112185.55890502567	2695.4243768992137	-683.4243768992137	237166.17861011138	59296.84182410459	2.896686254760462	0.3329390908098708	0.2472533010342507	0.1758453503742191	0.24396225778166203	0.3360609266902287	9.580192216764703E-5	1.0984998866213747E-4	8.09557220392945E-5	0.9806040358534418	0.029627403298574294	-112185.55890502567	-11269.5350994549	-9187.010420434866
