# BEAST v1.10.5 Prerelease #8a10723
# Generated Tue Sep 12 16:58:50 CEST 2023 [seed=1694530713589]
# -beagle_double HBV-D_updated_geo_priors_completeHistory_posterior_run2.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.root.frequencies4	location.root.frequencies5	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	Current Tree	c_allTransitions[1]
0	-1040.9618510909286	-27.712853134066464	-1013.248997956862	0.2	0.2	0.2	0.2	0.2	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	20.0	423.0	2244.0
10000	-332.01903581613607	-22.05211055849513	-309.9669252576409	0.1425292190495591	0.23639054833678705	0.15254335894009652	0.2593610819905472	0.20917579168301015	0.1997695193033383	3.007781931152172E-4	1.4746115094218855	0.05716448318126118	1.1078895044659767	1.542745533933011	0.21895815616441583	0.0639862679163658	2.510347623558631	0.513414365204785	1.7626752662120886	0.9505499437025626	1.1959937349706782	1.7138368561960047	0.51275688730727	0.5865003823878004	0.2960704548525633	1.5643532396540336	0.08976214236405874	1.6349445778859135	1.8499208841534804	1.7226246535947733	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	1663.0	83.0
20000	-353.29905600399206	-33.97039695571675	-319.3286590482753	0.1949159915834566	0.26366961325779525	0.1188891550577636	0.20477608679793924	0.21774915330304523	0.032714959861068385	3.89514276009185E-4	0.4819579877253667	0.5379654609424921	1.2785446945413796	0.5040745898787106	1.11195764677407	0.08224161429764787	0.8333997705710575	3.9595799872091124	0.3290039359882431	2.7579658953149138	0.16304536006761286	0.20719433230434023	0.9634243927116437	1.4235698870062488	0.8382107866842989	8.174122359843054	1.565462412147222	3.055787301535547	4.174569762609326	2.7559708054337735	0.0	1.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	14.0	1391.0	83.0
30000	-324.6552549155454	-9.383284543595568	-315.27197037194986	0.24962631135861657	0.27147830801053574	0.1188892180341368	0.22783914348690423	0.13216701910980672	3.2323175677695154E-4	4.621013019029745E-4	0.6120711988269784	0.4498981950933479	0.7512016432237967	0.14878362521121336	0.6653266922370495	0.9481174863246192	1.3198313842448597	0.0700762500024023	0.41688479467242934	2.184494155158881	0.14129232189885435	0.23156085849593808	0.44618372074321755	1.1339042106769774	0.720955602515165	1.0182647411806938	0.3381420019512268	2.0706547789024166	1.148022385548753	1.656043763453316	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	13.0	1019.0	86.0
40000	-331.6873606175921	-16.282775576175464	-315.4045850414166	0.257532013977946	0.3351462545822294	0.07509586752619173	0.21939967032491678	0.11282619358871628	6.810365445213814E-4	3.6546372004591033E-4	0.29108621832351683	0.2766253608204777	0.2774821743552598	0.19220251249176973	0.6721836294392672	1.5241637200165061	2.130817872818282	0.5520353115158106	0.33533842510121453	0.8131341539357669	0.04805157428029544	0.4433778864261135	0.8820066508527035	1.32567406316729	2.4755525025060767	2.3728440807439397	2.26732895824332	2.2239844918997274	1.3823273400122067	2.3234629543953758	1.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	14.0	1677.0	81.0
50000	-314.6903537958327	-6.574301303865184	-308.11605249196754	0.2267739265282863	0.3261443749712751	0.07400484494421923	0.1877013466836633	0.1853755068725562	2.331762685291519E-4	2.166055940634759E-4	0.34607485036368957	0.6407050242790387	0.4284404261439612	1.7926104658877127	0.06357333142080349	0.019183088308925674	1.7976272355177878	1.8093420168393841	0.14208274366706838	1.2278063409447635	0.11302867913686916	2.210218651729221	0.14774670339613474	0.19631330420851054	0.5209216540767474	0.7217292015658242	0.1524599871593727	1.723982567761218	0.4791811418759251	0.5649857676161122	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	875.0	87.0
60000	-324.5239185854774	-13.519287861165926	-311.0046307243115	0.16637194880099684	0.3802212611115089	0.08314010021396723	0.24086756498244213	0.12939912489108507	6.188329495050676E-4	3.117433974596839E-4	0.8028882042741847	0.2150937084285355	0.9811962966851181	0.30372279363369753	1.8389261052162669	0.19895897318868322	1.7809157024805367	1.1789212409845986	0.19616214550284128	0.5042159598104029	0.41147235354905115	0.18352658478889838	0.29573545194019524	1.1238955798693007	0.2791533531707024	2.990604752187332	1.4893100160981556	2.2118663112551262	1.4379081198391284	1.798288988588922	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	14.0	1684.0	79.0
70000	-330.49218556188976	-17.112256837080466	-313.3799287248093	0.18165186092593044	0.34475319449941627	0.16324383364853562	0.23914788283058913	0.07120322809552881	4.825048369502753E-4	2.491181138302299E-4	0.5319096849614765	0.3388527142186351	3.120993254338924	0.1423295133238375	2.269670976417395	0.10185622636056275	0.2665769259043823	0.13049958586753796	0.2810848809183878	1.5454526251618965	0.42570859425688523	0.3497033187746726	1.2040123733318826	1.0469447383358574	0.5716570990989784	3.599618061814196	0.4170757525782411	1.8969213060242154	2.5230282826556514	3.4126288791410913	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	14.0	875.0	83.0
80000	-330.4270349389171	-20.517167662813417	-309.9098672761037	0.16558419164115867	0.3022846468980152	0.22636896243088617	0.2153061339551051	0.09045606507483514	0.0014514126316992795	2.2285430910671094E-4	1.4244154478834121	0.22684650357226938	0.49772036730293023	0.0406373115636695	0.8396619513350098	0.34054115414751124	0.7965223136286665	6.930489853406132	0.317911177885888	1.477074180274973	1.2569390983907143	1.3948258052006441	0.3507598678044823	0.22950274546987695	1.3855629077196159	1.9862582876931583	2.3718492185442015	3.248862375389254	0.9972217557712765	0.9593131885230989	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	875.0	84.0
90000	-332.46487492698884	-15.842124033696559	-316.6227508932923	0.11560759900279904	0.4090221685822817	0.2560504394703144	0.18352933536790011	0.035790457576705306	0.001557325112607973	4.598296680108523E-4	0.1360484490880353	1.0150139060125838	1.0690861229853728	0.0964420363997918	0.5470082041751713	0.015841198077382913	0.7389614608532363	2.1031129897412586	0.29725861589353725	1.5746720784751194	4.619937063456755	0.14806414908718077	0.5790519239754909	0.6319459586127865	0.3101867538588368	1.0670081900233452	1.0320982619249073	2.4899597057821894	1.954935898386845	0.9426534947671726	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	14.0	1019.0	82.0
