# BEAST v1.10.5 Prerelease #8a10723
# Generated Tue Sep 12 16:59:04 CEST 2023 [seed=1694530728776]
# -beagle_double HBV-D_updated_geo_priors_completeHistory_posterior_run1.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.root.frequencies4	location.root.frequencies5	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.rates.Americas.Africa	location.rates.EastSouthAsia.Africa	location.rates.Europe.Africa	location.rates.WestCentralAsia.Africa	location.rates.EastSouthAsia.Americas	location.rates.Europe.Americas	location.rates.WestCentralAsia.Americas	location.rates.Europe.EastSouthAsia	location.rates.WestCentralAsia.EastSouthAsia	location.rates.WestCentralAsia.Europe	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.indicators.Americas.Africa	location.indicators.EastSouthAsia.Africa	location.indicators.Europe.Africa	location.indicators.WestCentralAsia.Africa	location.indicators.EastSouthAsia.Americas	location.indicators.Europe.Americas	location.indicators.WestCentralAsia.Americas	location.indicators.Europe.EastSouthAsia	location.indicators.WestCentralAsia.EastSouthAsia	location.indicators.WestCentralAsia.Europe	location.nonZeroRates	Current Tree	c_allTransitions[1]
100000	-333.9590374165441	-22.42710591418774	-311.5319315023564	0.1958477160216198	0.356695738324947	0.1363143576474873	0.20977853256634418	0.10136365543960242	0.011235135463728417	4.0780002149269976E-4	0.11361433947907608	1.4835287959927275	1.4244323811182822	0.28722284092135786	2.898638410594738	0.7047358225576431	0.5140734485600006	0.6496221105736933	0.2359972326807496	1.491701198473803	0.25690087770295084	0.20255700794142187	1.4081100960681032	1.0319584363488044	0.2919367686704851	2.7654582356076403	1.1404630541853278	3.8777195160330624	1.7396645157115465	3.0624242044806156	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	13.0	126.0	88.0
110000	-330.5528115257285	-15.011856612126278	-315.5409549136022	0.1952762310662183	0.3581683210844208	0.14111232084334688	0.18251012129215033	0.12293300571386426	0.002164741354858012	3.2338136166240903E-4	0.049775962435421275	0.3561066305405334	1.3178618650719591	0.1907089424696979	1.4117795007479514	0.05661558378522893	0.9689354424787932	0.34015791585306804	0.028314119117942592	0.04583284473743261	3.925983982524201	0.27210708567727554	0.3039009885493098	0.6105869609755485	0.7864113043428507	3.3039153014472444	0.11338925429607347	1.8255080625984608	2.593927783925371	2.2876187027289996	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	12.0	126.0	81.0
120000	-333.6649220434885	-22.094045834791174	-311.5708762086973	0.24490612181200622	0.38263398412958793	0.14510172409526967	0.09236154097678191	0.13499662898635467	7.263766693740209E-4	4.1545354114364604E-4	0.4002848443721978	1.0752444280560303	1.809669111051675	0.5828657545958005	0.9979469576870922	0.4358119903384056	0.29779475310179865	0.0899067972704662	0.4760360529836912	0.9832805092718074	2.4057286629862156	0.43924193951703233	0.4618531643565604	1.094118675789451	0.15671967377900428	3.781932620251638	0.27875339030580315	5.62704599889303	1.9881275992602332	3.7004637830894054	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	17.0	1684.0	88.0
130000	-325.5831145986922	-14.826653957194315	-310.7564606414979	0.26584215748942264	0.42176249222560447	0.10647102248051694	0.05923121960998326	0.14669310819447337	0.001761885064117448	4.0888160177060756E-4	0.49399213759604776	1.826492797728802	0.5935043940092223	2.025440836417395	1.728974593969715	1.4158658242513462	0.5062480066688607	0.06195424457040246	1.2450068184998553	1.432105685624775	0.5282583105456888	0.5894157555963118	0.8716772284938523	0.15594187932907178	0.1680247633605379	2.415755962704917	0.021179859605331783	2.3452017014264146	1.0286346356171054	1.6545833475931984	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	10.0	1677.0	84.0
140000	-319.85530804202364	-9.682996551303397	-310.17231149072023	0.21275102087046668	0.40464955349791704	0.16204447874328748	0.0032426554244834945	0.21731229146384606	0.002020801052668454	4.2424585860356673E-4	0.16264772072541725	0.4664197453447032	1.4793309247991224	1.1764174469279218	0.45627426077914673	0.5074190945210577	0.2968032715677648	0.11477339735569948	0.02682166355256579	1.2003755925443667	0.20548935190180354	1.9152828734655767	0.3031622613855075	0.7668669806738105	1.6207003867867227	1.9189351762143212	0.08935445406694646	1.0847250245480105	0.8331875618681059	0.8783195284598361	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	12.0	1684.0	84.0
150000	-329.80820552845455	-9.959411774910464	-319.8487937535441	0.24857638120836206	0.28580427780347784	0.145261551133769	0.07461910515037921	0.24573868470401272	6.058175582018749E-4	1.9834526894816278E-4	0.01824542138966901	1.3593617964711504	0.4009015948399684	1.2399683294464139	0.6273417104751798	0.5188715963815619	1.924416998792776	0.022141223886417764	0.42118576299565996	0.6134325763987278	0.2781646305070351	0.9248286818671173	0.17257427058908403	0.7874625685047384	0.7801740294987767	1.281260039615032	0.9071226624260182	1.0986208280475933	1.7462075680383538	2.085326921962428	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	13.0	476.0	80.0
160000	-323.05665680459686	-9.684998251841858	-313.371658552755	0.2709644203926644	0.2982395319868177	0.08602290247504224	0.11410902586843888	0.23066411927703784	1.8168922647752024E-4	3.286878193572339E-4	0.4304582751945273	1.4152043084419204	1.0611785906945312	0.05000919634549159	0.22363178977470538	0.41023437382689293	0.6290570146247397	0.17709835638712307	1.7087537441835838	0.2995322757912874	0.737425915215295	0.04651830852894018	1.1970213374981387	0.4831324518300171	1.3235998706656935	2.402107730012068	0.37876253293163664	1.4785452590954813	1.4992890504442873	1.7512898909555863	0.0	0.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	11.0	1684.0	83.0
170000	-330.6283683837308	-15.441206851441812	-315.187161532289	0.2559009554885382	0.3506988475813165	0.07619280495992728	0.0938466840268829	0.22336070794333615	0.0010767275348470987	4.1338326193478595E-4	0.9713086298373932	0.6691952383359124	0.5344761166788405	2.592837749611061	0.6811027517950693	0.047659924582814955	0.8098883072785054	1.0531916070762808	0.28903170269386713	1.434396234667537	1.39865389516065	0.6495245868507472	0.8364382186977566	0.6888198618958872	2.658819612512706	0.6979716024460527	0.2690937238246158	2.692983680209668	1.1006465702313433	1.6939500457528622	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	13.0	1684.0	88.0
180000	-325.79515848766624	-17.670449580518348	-308.1247089071479	0.23692542357092886	0.3010271540195475	0.1368494251046893	0.10081600946558102	0.2243819878392543	0.004594090624780828	3.1001367809778505E-4	0.2100247932137946	0.185877774581547	0.825621199849859	0.3065784804457133	1.611115021537876	0.06471551858828659	0.31170490894700015	0.045646661814704524	0.3281016697790843	1.3704024345804702	1.1858408937968152	0.03918408180913003	0.6478863884796472	1.0655644705246856	0.040564139083188636	3.3454921074068187	1.5120716265607919	2.5484886794976984	2.227544411101289	3.0532858273927634	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	16.0	1684.0	80.0
190000	-330.88853695379134	-21.445727829065568	-309.4428091247258	0.22675676586838092	0.2584588969606289	0.14199295603982226	0.1384905696859921	0.23430081144517667	6.355277489576964E-4	4.1273874514703604E-4	1.3944273904324433	0.6957551847792254	1.615037495631326	4.061770881147485	0.4048066721747386	1.8981844133310024	0.22948020177291958	1.9846632168474614	1.568516395992738	1.7300303351709245	0.968230021863655	0.5909022404923866	1.4547221369504242	0.8231809837462887	0.5233843384348298	2.6986281563772203	0.10888846632782596	1.9783375550246929	1.7624680002427873	2.2533253039305174	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	11.0	1019.0	91.0
