name	location
E/HM363608/Nigeria/2007/Nigeria	Africa
E/HM363609/Nigeria/2007/Nigeria	Africa
E/HM363610/Nigeria/2007/Nigeria	Africa
E/HM363611/Nigeria/2007/Nigeria	Africa
E/FN545821/Nigeria/2005/Nigeria	Africa
E/FN545822/Nigeria/2005/Nigeria	Africa
E/FN545823/Nigeria/2005/Nigeria	Africa
E/FN545824/Nigeria/2005/Nigeria	Africa
E/FN545827/Cameroon/2005/Cameroon	Africa
E/FN545841/Cameroon/2007/Cameroon	Africa
E/FN545842/Cameroon/2007/Cameroon	Africa
E/FJ349226/Belgium/1995/Belgium	Europe
E/FJ349227/Belgium/1998/Belgium	Europe
E/FJ349237/Belgium/2005/Belgium	Europe
E/FJ349238/Belgium/2007/Belgium	Europe
E/FJ349239/Belgium/2007/Belgium	Europe
E/FJ349240/Belgium/2007/Belgium	Europe
E/GQ161755/Guinea/2006/Guinea	Africa
E/GQ161756/Guinea/2006/Guinea	Africa
E/GQ161757/Guinea/2006/Guinea	Africa
E/GQ161758/Guinea/2006/Guinea	Africa
E/GQ161759/Guinea/2006/Guinea	Africa
E/GQ161760/Guinea/2006/Guinea	Africa
E/GQ161761/Guinea/2006/Guinea	Africa
E/GQ161762/Guinea/2006/Guinea	Africa
E/GQ161763/Guinea/2006/Guinea	Africa
E/GQ161764/Guinea/2006/Guinea	Africa
E/GQ161765/Guinea/2006/Guinea	Africa
E/GQ161766/Guinea/2006/Guinea	Africa
E/GQ161768/Guinea/2006/Guinea	Africa
E/GQ161769/Guinea/2006/Guinea	Africa
E/GQ161770/Guinea/2006/Guinea	Africa
E/GQ161771/Guinea/2006/Guinea	Africa
E/GQ161772/Guinea/2006/Guinea	Africa
E/GQ161773/Guinea/2006/Guinea	Africa
E/GQ161774/Guinea/2006/Guinea	Africa
E/GQ161776/Guinea/2006/Guinea	Africa
E/GQ161777/Guinea/2006/Guinea	Africa
E/GQ161778/Guinea/2006/Guinea	Africa
E/GQ161779/Guinea/2006/Guinea	Africa
E/GQ161780/Guinea/2006/Guinea	Africa
E/GQ161781/Guinea/2006/Guinea	Africa
E/GQ161782/Guinea/2006/Guinea	Africa
E/GQ161783/Guinea/2006/Guinea	Africa
E/GQ161784/Guinea/2006/Guinea	Africa
E/GQ161785/Guinea/2006/Guinea	Africa
E/GQ161786/Guinea/2006/Guinea	Africa
E/GQ161787/Guinea/2006/Guinea	Africa
E/GQ161789/Guinea/2006/Guinea	Africa
E/GQ161790/Guinea/2006/Guinea	Africa
E/GQ161791/Guinea/2006/Guinea	Africa
E/GQ161792/Guinea/2006/Guinea	Africa
E/GQ161793/Guinea/2006/Guinea	Africa
E/GQ161794/Guinea/2006/Guinea	Africa
E/GQ161795/Guinea/2006/Guinea	Africa
E/GQ161796/Guinea/2006/Guinea	Africa
E/GQ161797/Guinea/2006/Guinea	Africa
E/GQ161798/Guinea/2006/Guinea	Africa
E/GQ161799/Guinea/2006/Guinea	Africa
E/GQ161800/Guinea/2006/Guinea	Africa
E/GQ161801/Guinea/2006/Guinea	Africa
E/GQ161802/Guinea/2006/Guinea	Africa
E/GQ161803/Guinea/2006/Guinea	Africa
E/GQ161804/Guinea/2006/Guinea	Africa
E/GQ161805/Guinea/2006/Guinea	Africa
E/GQ161807/Guinea/2006/Guinea	Africa
E/GQ161808/Guinea/2006/Guinea	Africa
E/GQ161809/Guinea/2006/Guinea	Africa
E/GQ161810/Guinea/2006/Guinea	Africa
E/GQ161811/Guinea/2006/Guinea	Africa
E/GQ161812/Guinea/2006/Guinea	Africa
E/GQ161814/Guinea/2006/Guinea	Africa
E/GQ161815/Guinea/2006/Guinea	Africa
E/GQ161816/Guinea/2006/Guinea	Africa
E/GQ161817/Guinea/2006/Guinea	Africa
E/GQ161818/Guinea/2006/Guinea	Africa
E/GQ161819/Guinea/2006/Guinea	Africa
E/GQ161820/Guinea/2006/Guinea	Africa
E/GQ161821/Guinea/2006/Guinea	Africa
E/GQ161822/Guinea/2006/Guinea	Africa
E/GQ161823/Guinea/2006/Guinea	Africa
E/GQ161824/Guinea/2006/Guinea	Africa
E/GQ161825/Guinea/2006/Guinea	Africa
E/GQ161826/Guinea/2006/Guinea	Africa
E/GQ161827/Guinea/2006/Guinea	Africa
E/GQ161828/Guinea/2006/Guinea	Africa
E/GQ161829/Guinea/2006/Guinea	Africa
E/GQ161830/Guinea/2006/Guinea	Africa
E/GQ161831/Guinea/2006/Guinea	Africa
E/GQ161832/Guinea/2006/Guinea	Africa
E/GQ161833/Guinea/2006/Guinea	Africa
E/GQ161834/Guinea/2006/Guinea	Africa
E/GQ161835/Guinea/2006/Guinea	Africa
E/GQ161836/Guinea/2006/Guinea	Africa
E/AY738147/Congo/1998/Congo	Africa
E/AY738146/Congo/1998/Congo	Africa
E/AY738145/Congo/1998/Congo	Africa
E/AY738144/Congo/1998/Congo	Africa
E/AB194948/Cameroon/1994/Cameroon	Africa
E/AB194947/Cameroon/1994/Cameroon	Africa
E/AB205192/Ghana/2000/Ghana	Africa
E/AB205191/Ghana/2000/Ghana	Africa
E/AB205190/Ghana/2000/Ghana	Africa
E/AB205189/Ghana/2000/Ghana	Africa
E/AB205188/Ghana/2000/Ghana	Africa
