# BEAST v1.10.4 Prerelease #bc6cbd9
# Generated Tue Jun 09 02:30:18 CEST 2020 [seed=1587935552865]
# -seed 1587935552865 HBV-E_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates
670000	0.3541047199641188	1.4699144852157071	0.6577502690438629	0.5816379913093609	0.4742798310972593	0.4958026299099218	1.0	1.0	1.0	0.0	1.0	1.0	5.0
680000	0.6846834869650238	0.9444306821341119	0.47588724887648465	4.231984475326654	0.5861407193955236	0.37976328001156107	1.0	1.0	0.0	1.0	0.0	1.0	4.0
690000	0.14293523132104657	0.8873112218853009	0.3781670012381968	0.9262531497922262	0.47589271213350015	1.7057950244668818	1.0	1.0	1.0	0.0	1.0	0.0	4.0
700000	0.48269578242503597	2.1847945233259316	3.066554136645029	0.28272570188085516	0.19536022041456935	0.10483768514697046	1.0	1.0	0.0	1.0	0.0	1.0	4.0
710000	0.903332364985182	2.271714579501123	0.2085640148543688	0.421803865144147	0.34227820359600825	0.39186493955983076	1.0	1.0	1.0	0.0	1.0	0.0	4.0
720000	0.19573756377639862	1.3697424513312069	0.10715023629528518	1.3843047737889618	1.1237548739936483	0.7590989530755393	1.0	1.0	1.0	1.0	1.0	0.0	5.0
730000	1.2600835465357196	4.692402419752834	0.0679702264310392	0.03831278320491097	0.43408959802936303	0.19065610923995088	1.0	1.0	1.0	0.0	1.0	0.0	4.0
740000	0.1826769465496103	2.208102870269634	1.880424419014935	0.20713351041378575	0.340243150422555	3.5437808546440253	1.0	1.0	1.0	0.0	1.0	0.0	4.0
750000	0.46747596054457624	2.214369997225524	1.9640153438930668	0.5539918697764612	3.2283945002672554	0.18101598433803232	1.0	1.0	1.0	1.0	1.0	0.0	5.0
760000	1.0540360722307316	3.1176768703526374	0.11055195770962661	0.011408894401531346	2.9463240810492985	0.9608661716171208	1.0	1.0	0.0	1.0	1.0	0.0	4.0
770000	0.4415766836641785	2.4030994802989527	0.14562976929720226	0.313073433411153	1.8320581206979343	0.047670217210748246	1.0	1.0	0.0	1.0	0.0	1.0	4.0
780000	1.3334433827855738	1.383614246784158	1.6278079860148424	1.8575383242679697	1.437958480299042	0.6477353691090646	0.0	1.0	1.0	0.0	1.0	1.0	4.0
790000	1.2787660659666644	2.3703979551434173	0.09360390048356572	0.2814034882222362	0.7727716007501855	0.0894214395793498	1.0	1.0	1.0	0.0	1.0	1.0	5.0
800000	0.3141567828319494	2.578488434252897	2.645068893835273	2.623637873886308	1.3430902876155142	0.029833437960698386	1.0	1.0	1.0	0.0	1.0	0.0	4.0
810000	0.7895633238388481	3.3209475718810415	1.4478457121497177	1.2062516157066177	1.0277221713338163	0.2668343798388368	1.0	1.0	0.0	1.0	1.0	0.0	4.0
820000	0.5063644125117891	0.6075578845310137	0.3655884575603564	0.9835434447661853	1.6267672259844452	1.692936323235864	1.0	1.0	0.0	1.0	1.0	0.0	4.0
830000	0.1192928418434908	3.536449940905365	2.0587215620870363	0.19670125609698064	0.9100014352860085	1.260634882826088	1.0	1.0	1.0	1.0	1.0	1.0	6.0
840000	0.1593247988596753	1.178191225009518	0.9745586695191624	0.034365520579184516	0.1000435015381281	0.4638474731090365	1.0	1.0	1.0	1.0	1.0	0.0	5.0
850000	0.08258708620515448	1.044561320976801	0.2793154190958704	0.09275141202749583	0.1219583277598906	1.4460331925233822	1.0	1.0	1.0	1.0	1.0	0.0	5.0
860000	0.7134310768337964	1.4201180708249252	1.1077518444591146	3.92157224396318	0.46195057189873123	1.1166283286717469	1.0	1.0	1.0	1.0	1.0	1.0	6.0
870000	0.4178920080783994	0.9235644282794492	0.05824306529143927	0.5387936605110416	0.05287219603614206	3.4397112990679233	1.0	1.0	0.0	1.0	0.0	1.0	4.0
880000	0.06975868846435314	4.915248055831321	0.9257137129008072	0.30922132405994773	0.7558120592758968	0.5529116908216246	1.0	1.0	0.0	1.0	1.0	0.0	4.0
890000	0.4331227491921499	1.8710012329401442	2.129940057121721	1.5155418399089016	1.3867209830256273	0.22998508783748384	1.0	1.0	0.0	1.0	0.0	1.0	4.0
900000	0.0746389400250725	2.448205771500101	0.34680139723719455	0.4111564470330772	1.3685067392227976	0.07194131784767907	1.0	1.0	0.0	1.0	1.0	0.0	4.0
910000	0.9696870726201797	1.267173519020195	1.9233033098647538	0.2583860171955695	2.0833313675600453	0.16250143721700364	1.0	1.0	1.0	1.0	0.0	1.0	5.0
920000	0.40816787486922285	3.4078226050394926	0.08544150542649473	0.0601623813133989	0.8463059332034696	0.8349489168631589	1.0	1.0	1.0	1.0	1.0	1.0	6.0
930000	0.23954355183333675	1.1464510323297261	1.3528189846154834	0.8301579631242455	1.3633808241672072	2.116058326677566	1.0	1.0	1.0	1.0	0.0	1.0	5.0
940000	0.7083788901959973	4.475667049582981	0.44500843854602784	0.9415435287780093	3.0597227071114257	1.8025454423461336	0.0	1.0	1.0	0.0	1.0	1.0	4.0
950000	1.008432715353298	5.45411080652789	0.05872774122053103	0.030904094495713498	0.32834203494016656	0.8393192810299531	1.0	1.0	0.0	1.0	1.0	1.0	5.0
960000	0.362025820731956	1.2096241282331917	1.2574452108072791	0.15600788645001595	0.2983501477815481	1.1367437045035866	1.0	1.0	0.0	1.0	1.0	0.0	4.0
970000	0.8433636714987492	2.95912666237069	0.10287414592955904	0.2870680095313381	0.7423404275107639	0.5962626993157664	1.0	1.0	0.0	1.0	1.0	1.0	5.0
980000	0.24755282774884033	2.9716874936614825	0.22402541766575895	1.5380466137423532	1.6266494781583387	0.31115385985735877	1.0	1.0	1.0	0.0	1.0	0.0	4.0
990000	0.2545147681644095	2.076974483078608	0.14412861657361217	0.32982651128241985	0.33113758351496597	0.32174514997739206	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1000000	0.5163006248965446	2.146043360672582	0.3051778862666395	1.2553091860185057	2.176152213275718	0.0386479590270921	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1010000	0.9486372789323384	3.058967888842807	0.39416318530352673	1.2676229185531296	1.914225591138256	2.2145828726253196	1.0	1.0	1.0	1.0	0.0	1.0	5.0
1020000	1.3484420765970944	2.360026163882165	1.1261035557215886	0.2401108651610112	0.0024495638457653116	0.5269282621888228	1.0	1.0	0.0	1.0	1.0	1.0	5.0
1030000	0.7585753091712524	2.658197349014964	0.7669522705317542	1.294293987346811	0.11163845125036854	0.03733395050837229	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1040000	0.35141196032262567	1.9213092432290662	4.662878315262911	0.5332073248584075	0.3409558994604796	0.8499501713851856	1.0	1.0	0.0	1.0	1.0	0.0	4.0
1050000	1.5019341124355596	3.8782290331580813	0.7125603267203778	0.24425229912267976	0.9210482318516213	0.7377840173060144	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1060000	0.6025707506007302	1.9725275754723555	0.7435061432268552	2.6344054722369568	0.22492632005190016	0.4648502554448959	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1070000	0.9177254203832342	1.75579481945919	0.28910537599886654	0.029632625848674952	0.5241321089468702	1.0324878122872352	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1080000	0.275621244876443	1.6041925683270644	1.196092212608678	0.3952582400364097	0.09312621008655673	0.40618720266391406	0.0	1.0	0.0	1.0	1.0	1.0	4.0
1090000	2.029980880204595	2.8438449612166172	0.2909880331816757	2.652587718952679	0.2300429835549181	0.5452802800998672	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1100000	1.3903676548568833	2.041459381201006	0.29751434605970545	0.9637002915771973	1.3637136251360302	0.07505002120511584	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1110000	0.10385394064205875	2.2639330335729917	0.15726569396952883	0.335517008429839	0.8280967220909274	0.06953422310430309	1.0	1.0	0.0	1.0	1.0	0.0	4.0
1120000	0.3049454799151185	1.583391662831936	0.3288743090636778	0.4837485681315414	0.4370487243756307	1.2501729588299884	1.0	1.0	0.0	1.0	1.0	0.0	4.0
1130000	1.1649984853219695	2.140794377263145	0.025101774493299065	0.2810641927715089	0.22735314245734659	0.7175850746141221	1.0	1.0	0.0	1.0	1.0	0.0	4.0
1140000	0.04652834105425177	2.893869361052359	0.17222504486487952	1.5100736572855333	0.4207382511321522	0.05698884900512952	1.0	1.0	1.0	0.0	1.0	1.0	5.0
1150000	0.4575935175133304	0.701971487847448	0.32206096769501263	2.6267318715855232	1.1309234419080996	0.6494208485138493	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1160000	1.7356638008451508	2.84866799977262	1.7605910561046796	1.0898411501599858	1.195794626018427	1.5483697658540219	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1170000	0.44844614768665264	3.156554755862024	0.19734965042098468	0.17028273272138827	1.398059066166267	0.6019165755857178	1.0	1.0	1.0	1.0	0.0	1.0	5.0
1180000	0.061804030226912755	0.6144977712751588	0.9503446733791829	0.7114578684743624	0.2729587646127628	0.22606075367648187	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1190000	1.1902928381761606	2.510671456947358	0.8759954634773445	0.44450262299129306	0.8524942781552289	0.17344871396088327	1.0	1.0	0.0	1.0	1.0	1.0	5.0
1200000	0.2577344753355475	3.9687374570176144	1.694565090084224	3.945381807515838	1.1829062882504338	0.9926759808274699	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1210000	0.5301662599450108	2.219005458099222	2.5665515867813666	0.14280711996885218	0.13058806950184126	0.15020173892919558	1.0	1.0	0.0	1.0	1.0	1.0	5.0
1220000	0.15552209660108882	1.0839392807306123	0.4516451851579177	0.05159234256895242	1.1422427305747616	0.8595162846620513	1.0	1.0	0.0	1.0	1.0	0.0	4.0
1230000	0.6419073040645711	4.530561003709041	1.2228965331308341	0.25616562235605767	3.4116747391957842	0.8939415566359861	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1240000	0.3446700758290621	0.7126278138060216	0.5309079844790504	0.03258669252570071	1.3726939128392925	0.02662992931011735	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1250000	0.8968546865828084	2.082013677155482	0.44827624727388754	0.3523287396690245	0.5760121850822619	1.941360282829696	1.0	1.0	0.0	1.0	1.0	0.0	4.0
1260000	0.20020945380507618	1.4759452734294478	0.6512778325659044	0.14594202065816436	0.7714965179521359	0.48066712789266897	1.0	1.0	1.0	1.0	0.0	1.0	5.0
1270000	0.05911069426429992	0.39807600201453597	2.160216575291363	0.7072469176048007	0.513270401757392	0.0325228469024487	1.0	1.0	1.0	0.0	1.0	1.0	5.0
1280000	0.31022352307994555	1.1810170055852163	0.6942545260339142	0.036357213757583065	0.6469515878182399	2.47070954046046	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1290000	0.4991956339580618	1.8236875047082621	1.1258640773571646	1.0325072075338673	1.538772928405911	0.552901780977409	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1300000	0.43534429644932654	1.4253750162085859	1.3937997526597559	0.27174819565560593	1.0583055715485048	1.3142590174222164	1.0	1.0	0.0	1.0	1.0	1.0	5.0
1310000	0.9496360832402563	3.3092505328119834	1.6508603378861315	0.41831158870397683	0.608270530138155	0.37046946999401004	1.0	1.0	0.0	1.0	1.0	0.0	4.0
1320000	0.5715476265972825	2.228276926288892	0.16436639728524866	0.5500558655816352	0.43327826953564513	1.71259435005283	1.0	1.0	1.0	1.0	1.0	0.0	5.0
1330000	0.74942424067832	1.2438775371893827	0.8864505144112492	0.08899109838021514	0.49859647300032756	0.053693798514485684	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1340000	2.625291792425766	1.512387654095599	0.1602434092040044	2.4118859217499073	2.823864423121315	0.4342384615457901	1.0	1.0	1.0	1.0	1.0	0.0	5.0
1350000	0.3465853660518713	1.484998807659422	2.096330806941462	2.979938334958178	0.4763013383809883	3.2086720672255913	1.0	1.0	0.0	1.0	1.0	0.0	4.0
1360000	0.5406126006311001	3.786931244654864	1.9302479876792862	0.18380797061987256	2.55251994276019	0.3959385601465931	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1370000	0.25989371812195144	3.00608772616433	0.5974273234571822	0.1544750609776715	0.32265975312146644	0.33882230698352683	1.0	1.0	0.0	1.0	1.0	0.0	4.0
1380000	0.7215179263159495	0.5414248423291218	0.14038382172966707	0.1590549836170725	0.5489113246126807	0.008004351576480362	1.0	1.0	1.0	1.0	0.0	1.0	5.0
1390000	1.655803741992322	3.1325348867243146	0.2944666551692835	0.44107262835179145	3.2437170288782395	1.698722200744407	1.0	1.0	0.0	1.0	1.0	1.0	5.0
1400000	0.6267729024465813	3.2879166756094387	0.5036857063009026	0.1414956187075803	0.4882544100888512	1.61893874098761	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1410000	0.24744883210027613	0.7916568597727273	1.2187050431266646	1.7444726009802165	0.08003876902230071	0.6099244303366015	1.0	1.0	1.0	1.0	0.0	1.0	5.0
1420000	0.8098534690744821	1.666262370075243	2.3112676144824946	0.32758528812593024	1.1590452863596286	1.7023372539142716	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1430000	0.6655535586472325	3.244987866742082	0.012659652235953773	1.4133756785194331	0.6527019986895645	0.6607261722087979	1.0	1.0	1.0	0.0	1.0	1.0	5.0
1440000	0.5029355882564368	3.0356575704041417	1.5273837909708703	0.18359490356060604	1.172774634328125	0.05117278927304225	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1450000	0.14576973038517455	1.0092639603131037	0.13466621517133792	0.3629550284465899	0.4736682032153974	0.05259582948589261	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1460000	0.9368223870924542	3.4654079322492906	0.2546875056301569	0.35573340571812545	1.586681613313515	0.2209272542958151	1.0	1.0	1.0	1.0	0.0	1.0	5.0
1470000	1.925549888062459	2.0648073170710917	1.263374708396214	0.07431361452098718	2.564212226263641	0.316163911379559	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1480000	1.6783184321191942	3.637700821702097	0.6860375214031948	1.690887975777707	0.18287287714916325	1.6509191336286346	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1490000	0.3029845984367444	1.2335510310894073	0.4209436064768127	0.7128688103858816	0.9979766723102441	0.8293648057216413	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1500000	0.0990170068270634	1.526324930906075	1.4650892964520519	0.5885093518303793	0.11282889995625513	4.705675151265823	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1510000	0.1529127950908189	2.1162469483973734	0.6851478672897126	0.18313181699598172	0.6880247710022231	0.5235896436523774	1.0	1.0	0.0	1.0	1.0	0.0	4.0
1520000	0.5505627709903383	3.9134384334736168	2.392469431390845	0.4328209087092751	0.4241803210867409	1.1049583312031857	1.0	1.0	0.0	1.0	0.0	1.0	4.0
1530000	0.07633245537711457	1.71245359964435	1.5541763311158172	0.8342726478629783	0.05507254627782386	2.287566656518606	1.0	1.0	1.0	0.0	1.0	0.0	4.0
1540000	0.5168636603864072	3.8156467006607584	1.7274983994174105	0.20042579672178426	1.0978152523122275	1.5956292860004044	1.0	1.0	1.0	1.0	1.0	1.0	6.0
1550000	0.7029769108074065	3.128971227512545	0.6609533898552351	0.7370678196448658	1.661897220168281	0.07365535241524496	1.0	1.0	1.0	1.0	0.0	1.0	5.0
1560000	0.3346357575361355	1.7728673234878631	1.7444375649085038	0.7666720844706766	2.40821233813771	0.2470297982550715	1.0	1.0	0.0	1.0	0.0	1.0	4.0
