state	from	to	time
100000	Africa	Europe	61.157835688126355
100000	Africa	Europe	15.93045059839686
100000	Africa	Europe	105.1428668271186
100000	Africa	Europe	19.90817637991009
100000	Africa	Europe	110.58400724092594
100000	Africa	Europe	33.081890868350015
100000	Africa	Europe	16.626867015829376
100000	Africa	Americas	102.2719529749033
110000	Africa	Europe	18.218184557865058
110000	Africa	Europe	11.927000849919725
110000	Africa	Europe	15.22506382802527
110000	Africa	Europe	11.024520212158961
110000	Africa	Europe	6.213320278556459
110000	Africa	Europe	20.460480688407962
110000	Africa	Europe	27.675293829500156
110000	Africa	Americas	14.506112204977903
120000	Africa	Europe	52.793744918961636
120000	Africa	Europe	16.83926296721374
120000	Africa	Europe	22.24711814779654
120000	Africa	Europe	10.530987311603711
120000	Africa	Europe	7.614602536244736
120000	Africa	Europe	17.328430242231704
120000	Africa	Europe	19.838065729060656
120000	Africa	Americas	16.67798161467803
130000	Africa	Europe	46.56680924469431
130000	Africa	Europe	11.572555165967577
130000	Africa	Europe	12.432250282574227
130000	Africa	Europe	11.231624348835174
130000	Africa	Europe	6.161906265452663
130000	Africa	Europe	6.207178595629172
130000	Africa	Europe	20.993689677936125
130000	Africa	Americas	30.0450317228629
140000	Africa	Europe	39.88568829130256
140000	Africa	Europe	8.62161355305869
140000	Africa	Europe	25.80707796431249
140000	Africa	Europe	4.881176043467605
140000	Africa	Europe	7.3167099612227755
140000	Africa	Americas	11.280196933985552
140000	Africa	Europe	20.249524490422818
140000	Africa	Europe	9.310385778771787
150000	Africa	Europe	17.33841974197502
150000	Africa	Europe	12.713956526768609
150000	Africa	Europe	15.61086140692337
150000	Africa	Europe	6.281477399903508
150000	Africa	Europe	9.691299271450191
150000	Africa	Americas	10.467697158929123
150000	Africa	Europe	18.81594918711646
150000	Africa	Europe	17.507565522069473
160000	Africa	Europe	10.50534509715419
160000	Africa	Europe	16.126825466159726
160000	Africa	Europe	19.917660393407644
160000	Africa	Europe	3.7213452221396044
160000	Africa	Europe	6.820179961015668
