#node	date	numeric date
A5/FJ692607/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000188	1374-07-03	1374.506307
A5/FJ692604/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000189	1434-12-21	1434.973656
A5/FJ692595/Haiti/2006/Haiti	2006-01-01	2006.000000
A5/FJ692597/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000192	1309-03-20	1309.218787
A5/FJ692593/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000201	1399-11-13	1399.869599
A5/FJ692603/Haiti/2006/Haiti	2006-01-01	2006.000000
A5/FJ692611/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000196	1411-04-06	1411.264508
A5/FJ692602/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000197	1670-01-30	1670.083774
A5/FJ692606/Haiti/2006/Haiti	2006-01-01	2006.000000
A5/FJ692608/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000069	1437-11-02	1437.839202
NODE_0000074	1529-07-31	1529.581684
A5/FJ692605/Haiti/2006/Haiti	2006-01-01	2006.000000
A5/FJ692601/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000193	1473-11-09	1473.857192
A5/FJ692598/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000194	1544-01-06	1544.018757
A5/FJ692599/Haiti/2006/Haiti	2006-01-01	2006.000000
A5/FJ692612/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000141	-529-07-12	-528.469886
NODE_0000142	0483-04-28	483.325544
A/KC836879/Japan/1995/Japan	1995-01-01	1995.000000
NODE_0000143	0808-03-12	808.196217
A1/KF779332/USA/2001/USA	2001-01-01	2001.000000
A1/KF779384/USA/2000/USA	2000-01-01	2000.000000
NODE_0000059	-185-10-20	-184.195124
NODE_0000040	0251-05-12	251.363495
NODE_0000041	1269-03-27	1269.235646
A/AB076678/Malawi/1997/Malawi	1997-01-01	1997.000000
NODE_0000042	1364-11-03	1364.841726
A/MB45/Belgium/2008/Congo	2008-01-01	2008.000000
NODE_0000043	1761-05-09	1761.353348
A1/JN182334/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/JN182320/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/JN182323/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
NODE_0000089	1828-07-08	1828.519382
A1/JN182321/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
NODE_0000102	1881-01-01	1881.000523
A1/JN182329/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
NODE_0000130	1881-01-01	1881.000523
A1/JN182322/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/JN182330/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
NODE_0000050	1795-11-02	1795.840407
A1/JN182331/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/JN182319/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/JN182328/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/JN182325/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
NODE_0000052	1858-05-17	1858.376982
A1/JN182332/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/JN182333/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
NODE_0000056	1827-02-20	1827.141263
A1/JN182326/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/JN182318/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/JN182324/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/JN182327/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
NODE_0000039	0302-02-15	302.128676
A/MB114/Belgium/2008/Congo	2008-01-01	2008.000000
NODE_0000024	0397-02-13	397.121545
NODE_0000025	1870-10-20	1870.803658
A1/JX154582/Kenya/2010/Kenya	2010-01-01	2010.000000
A1/JX154580/Kenya/2010/Kenya	2010-01-01	2010.000000
A1/JX154579/Kenya/2010/Kenya	2010-01-01	2010.000000
A1/JX154581/Kenya/2010/Kenya	2010-01-01	2010.000000
NODE_0000029	0503-04-07	503.266758
NODE_0000030	1690-07-25	1690.566193
A1/KJ010777/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
NODE_0000031	1982-09-05	1982.679891
A1/KJ010776/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
A1/KJ010778/SouthAfrica/2009/SouthAfrica	2009-01-01	2009.000000
NODE_0000032	0744-03-12	744.194469
NODE_0000033	1885-03-22	1885.223437
A/MB27/Belgium/2009/Congo	2009-01-01	2009.000000
A/MB84/Belgium/2007/Congo	2007-01-01	2007.000000
NODE_0000034	0806-08-17	806.629066
NODE_0000035	0888-06-30	888.495952
A/MB145/Belgium/2007/Congo	2007-01-01	2007.000000
NODE_0000036	2008-01-01	2008.000000
A/MB33/Belgium/2008/Congo	2008-01-01	2008.000000
A/MB103/Belgium/2008/Congo	2008-01-01	2008.000000
NODE_0000037	0985-11-04	985.843935
A1/FJ692587/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000038	1282-03-24	1282.228961
A1/FJ692573/Haiti/2006/Haiti	2006-01-01	2006.000000
A1/FJ692592/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000021	0691-05-16	691.373702
NODE_0000022	0781-10-15	781.789313
A/MB18/Belgium/2009/Congo	2009-01-01	2009.000000
NODE_0000023	1007-01-10	1007.027519
A/MB71/Belgium/2007/Burundi	2007-01-01	2007.000000
A/MB1473016/Belgium/2010/Rwanda	2010-01-01	2010.000000
NODE_0000016	0855-11-27	855.907612
A/GU563547/Belgium/2003/Belgium	2003-01-01	2003.000000
NODE_0000017	0923-12-24	923.982507
A/MB62/Belgium/2006/Congo	2006-01-01	2006.000000
NODE_0000018	0993-05-04	993.341782
A/MB60/Belgium/2006/Congo	2006-01-01	2006.000000
NODE_0000019	1803-08-13	1803.618159
A/MB48/Belgium/2009/Rwanda	2009-01-01	2009.000000
A/MB121/Belgium/2009/Rwanda	2009-01-01	2009.000000
NODE_0000000	0914-01-13	914.036556
A/MB7/Belgium/2008/Rwanda	2008-01-01	2008.000000
NODE_0000001	1072-09-14	1072.705204
A/MB34/Belgium/2009/Rwanda	2009-01-01	2009.000000
A/MB125/Belgium/2006/Rwanda	2006-01-01	2006.000000
NODE_0000013	0955-07-01	955.499999
A/MB72/Belgium/2007/Rwanda	2007-01-01	2007.000000
NODE_0000014	1032-04-26	1032.318942
A/MB14/Belgium/2008/Congo	2008-01-01	2008.000000
NODE_0000015	1261-11-19	1261.886672
A/MB64/Belgium/2006/Burundi	2006-01-01	2006.000000
A/GU563545/Belgium/2005/Belgium	2005-01-01	2005.000000
NODE_0000004	0964-08-16	964.624383
A/MB11/Belgium/2008/Burundi	2008-01-01	2008.000000
NODE_0000005	1028-10-15	1028.790391
NODE_0000006	1064-09-11	1064.696571
A/MB132/Belgium/2007/Rwanda	2007-01-01	2007.000000
A/MB42/Belgium/2009/Rwanda	2009-01-01	2009.000000
NODE_0000007	1834-06-29	1834.494268
A/MB1/Belgium/2008/Rwanda	2008-01-01	2008.000000
A/MB81/Belgium/2007/Rwanda	2007-01-01	2007.000000
NODE_0000008	1024-04-30	1024.329003
A/MB66/Belgium/2006/Congo	2006-01-01	2006.000000
NODE_0000009	1530-10-02	1530.754278
A/GU563548/Belgium/2000/Belgium	2000-01-01	2000.000000
NODE_0000010	1717-07-15	1717.538598
A/MB63/Belgium/2006/Rwanda	2006-01-01	2006.000000
NODE_0000184	1865-11-11	1865.864793
A/MB119/Belgium/2009/Rwanda	2009-01-01	2009.000000
A/MB139/Belgium/2010/Rwanda	2010-01-01	2010.000000
NODE_0000060	0426-08-13	426.616705
A/AB453987/Japan/2006/Japan	2006-01-01	2006.000000
NODE_0000062	0517-01-24	517.068177
NODE_0000063	0599-07-18	599.546516
A1/EU366129/Argentina/2005/Argentina	2005-01-01	2005.000000
NODE_0000064	0818-08-23	818.644649
A1/FJ692566/Haiti/2006/Haiti	2006-01-01	2006.000000
NODE_0000065	1434-04-22	1434.309170
A1/JQ023663/Colombia/2007/Colombia	2007-01-01	2007.000000
NODE_0000066	1530-03-29	1530.242131
A1/JQ023661/Colombia/2007/Colombia	2007-01-01	2007.000000
NODE_0000067	1671-03-14	1671.199978
