# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 08 13:19:13 CET 2019 [seed=151515]
# -beagle_cpu -overwrite -seed 151515 -save_every 100000 -save_state checkpoint.state HBV-D_ancientDNA_HMCskygrid_geo.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.MiddleEast	location.rates.Africa.Oceania	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.MiddleEast	location.rates.Americas.Oceania	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.MiddleEast	location.rates.EastSouthAsia.Oceania	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.MiddleEast	location.rates.Europe.Oceania	location.rates.Europe.WestCentralAsia	location.rates.MiddleEast.Oceania	location.rates.MiddleEast.WestCentralAsia	location.rates.Oceania.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.MiddleEast	location.indicators.Africa.Oceania	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.MiddleEast	location.indicators.Americas.Oceania	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.MiddleEast	location.indicators.EastSouthAsia.Oceania	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.MiddleEast	location.indicators.Europe.Oceania	location.indicators.Europe.WestCentralAsia	location.indicators.MiddleEast.Oceania	location.indicators.MiddleEast.WestCentralAsia	location.indicators.Oceania.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	21.0
250000	0.6781704051283677	2.884115946929105	0.5572542016700284	0.4461084575959739	0.06325233287674144	1.2391619075330682	3.589175904932527	1.2099987168614983	0.30824616265200583	1.4653730465929204	0.3701265498756357	2.035646434433774	1.2906297426031115	0.062361622239964505	2.1044379861718485	0.7050251126488024	0.7780094009222432	1.702581676035622	4.2334104033649185	1.1430357573078564	0.23618785520280608	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	13.0
0000	0.05725002019309036	0.5817941342166704	0.28022341948389046	0.9405552023054828	0.04141544033847666	1.0115222412361689	0.6899292754612899	0.5433954306275675	0.5409539661210689	0.16197157397000103	0.20089408041804654	1.8688850212964732	0.2997071698813311	0.42883226734867447	1.4453916473052955	5.5605020983704065	0.38872440069038333	1.092848476386726	0.010391908325846152	2.7366009286440955	4.406321999307127	1.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	14.0
750000	4.314115021726479	0.2889979655559408	0.46424339156997235	0.40129198609030264	0.5905753597733369	0.5749578949511168	0.9845172983157472	0.7195046672403398	2.8699412683907704	0.8393526994917443	0.07938045783542734	1.1926359862053932	0.5302123905919254	0.378246974125595	1.447113398306805	0.03650977944592216	0.03436148996261678	0.8372148711936035	0.476919490010575	3.014559296339741	0.817832490924244	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	14.0
1000000	1.0804103252355124	0.8447801426114551	0.25004383130161334	1.3733475518488318	0.8739260376134084	1.8336740915760532	0.6393772692437575	0.6231616611667262	0.8076015546653874	0.4498094690892764	0.4895585898573382	2.3908637669985144	0.18590912932304943	0.5205160360562181	3.487067058194558	0.6374708511933289	0.6738642895932463	1.5305891525104933	1.0139891287317109	2.9458046579363275	0.10871272326836051	0.0	1.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	14.0
1250000	1.0933139269867624	2.4030771666957564	0.5486225696823889	0.5562444177551942	3.9872298936214783	1.5351848825161691	2.2448342935780974	1.2034082488153544	0.8080049248962577	0.6756380706022199	0.6066655685389384	2.8813341390601477	1.1194760894960467	0.46598644171941617	3.2253587620319295	0.36579226575992857	0.0246003336214881	1.8603538950992382	2.546088573938453	4.5788945262241825	0.2493201027510319	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	13.0
1500000	0.20915635324664456	0.18299916962835316	1.1202679574897585	0.15232655714102966	0.5364223491748498	1.117625987992971	1.4144567233542436	1.7147995311265165	0.7868591694269335	0.5361785554487858	0.3544781673654896	3.868721750944185	0.17505789651921122	0.21376471642930545	3.880878962661511	1.349367431398031	0.966831077360896	2.008185280896356	1.0021117386302139	3.262494613049236	0.285749007986947	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	13.0
1750000	0.7288021384697403	0.3166275363050808	0.4294178714548075	0.18825356040356991	1.9347114953574713	0.6804443343825156	0.26760314499835675	0.7224074536954491	0.647571308812433	0.21419905892546787	0.5624144136975554	1.066150605118084	0.14302863645104955	0.14916860854508154	0.8532206050514889	0.36264199869780905	1.1368921726399852	0.6355513415342022	0.5539507736200274	1.9279551506918944	0.08038150590315986	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	13.0
2000000	1.031812190316554	0.2773602448415664	0.8394192382846156	0.21083239284278615	0.4838240254154628	0.893416325549871	0.6719394410336806	0.7429199861720178	0.3021618455552921	0.3769847113842065	2.360105291047742	2.027836989719518	0.7134419692135346	0.14381150918346322	1.9151068596502967	0.34954026021682233	0.14583121583988215	1.1305735068101264	0.14922097202726256	2.7544908612985695	0.14744042455992654	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	13.0
2250000	1.3383271321565566	0.7732998785750123	0.8987046908155657	1.9883977597105802	1.4343528209180552	0.6356475477460195	0.19249511952371315	1.4014637224146482	1.1695849456891112	0.4571347143896277	0.21689236716437924	2.260528033613413	1.0467059639958671	0.20964988733592693	1.4567842001123446	0.8993852549835782	2.7599070907491843	1.3744902650483455	0.70306957760035	2.4870325874660986	0.2299948462297653	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	11.0
2500000	0.24017758809226225	0.21247526153424579	0.5202048898340274	0.19039418714572004	0.2851039204804885	0.724619282042392	0.22002418555106854	0.7420097717079547	0.2987821236010379	0.374405335110824	0.8051376754027088	2.219668201749087	0.027153802187252073	0.8967158187622521	2.5406115577302866	0.5659180065700585	0.5429941029927038	1.6244955320602588	0.31122107103455526	2.8909572053011217	1.6834563577390176	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	11.0
2750000	0.5792445541820047	0.47038023625286673	0.3921018002095291	0.31910950638096125	0.8712666080055885	0.32309485362736556	0.13472644709082474	0.6300679250665054	0.3319933782895409	0.16509078367221877	0.1378880582281368	1.4257389571819563	0.4122746421203275	0.5611343706349152	1.21678126728382	0.4999035012597413	0.2592633946310202	0.7665669399021889	0.997951706732294	2.790593833419918	0.0018561748119277645	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	11.0
3000000	1.8030167122231107	0.43514825124367823	0.414725872933208	0.07938965387671863	0.13909093784833462	0.5040550718433956	0.2412090607614278	0.7606844101819512	0.23619375652015032	0.754462765061622	0.6720689366173678	1.2894199124185404	1.2809362133970412	1.3598062830755262	0.7457154479611086	0.3367952225783119	0.37364091225550317	0.3529919860390564	0.8641783608231192	1.3711881817109621	0.6333090624050504	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	11.0
3250000	2.2290689512493462	5.784320776175379E-6	0.7766616068374202	0.5257031743158366	0.8881292958824606	0.6825512796323864	0.1083898952907003	0.9497878976581609	0.32285592940311847	0.0804100589414313	2.0242720717153837	2.6377023831728224	0.2944215919135069	1.0253386613864932	2.0860951811276456	0.46956529782449086	0.5874118284155933	0.7437665444787108	1.6411547158595985	2.1296679175957256	0.14811018217357416	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	10.0
3500000	2.762534499602918	0.9321548871393793	0.6303005305601196	2.244522856740572	1.231961910551253	0.786747854485119	0.17282618915667583	1.4126103538520538	2.463497166742617	0.05290302534000249	1.1452371316162853	0.9469201961115876	0.5811093342782447	0.4460560771163917	1.6956903586821623	1.3002303393698476	0.5862308524155174	1.3202690813403104	0.15917553665674933	2.2372070633694334	3.340994104413272	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	10.0
3750000	0.8144595181073744	1.051229676654043	0.3837577758475312	0.22936046654403727	0.8417501105161748	1.5610110072986054	0.4246240892918004	1.5962394380248595	2.3721335142176296	3.079416093630773	0.38806429546794097	2.6641617686672694	0.8562261846408952	0.3810107503249807	1.2403998555189564	0.541626712449664	0.35930401783206345	1.3117834300332278	1.767064471364854	4.539405490966178	0.07231356955726762	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	13.0
4000000	4.179291989947516	0.0908809570231948	0.39934126047708374	0.3582345490880694	0.12868133390730924	0.6833659711767	0.040586976028123924	1.1003228660696858	1.138579355519206	0.9396305502449036	0.10463991346324338	1.539201388554805	3.807036774545568	0.4275586759832004	1.1959536152717463	0.39613072354365586	0.10182116188752165	0.9258550702461963	0.15066036630124235	1.5626535044501666	3.662048673729852	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	9.0
4250000	0.5071757796135105	0.00660734305725036	0.654277658711219	0.04862701879630875	0.007013501261662895	0.6181275851578546	0.5301247384326918	1.1281303508044531	0.44735721364715847	0.3039940478394533	0.10455777453720798	2.0473005920191283	0.003157285617618443	0.560195718609619	2.155576554295694	0.781619008393621	0.46151555190792637	1.0435674991404864	0.19532674214005918	2.2519767620518585	0.1994730575211935	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	11.0
4500000	0.3853215328436066	2.11526538327065	0.3282555056988516	0.8615329296458244	0.048623325221484846	1.623366320890503	0.9035317236164091	1.3855215132022851	0.1564692031707031	0.09201606844162323	0.7806699716782286	2.1470469183463434	3.2662571911174343	0.028193933092357674	1.5080306097054357	0.7151842262443032	1.0669636677306864	1.201747034235828	0.3008401442852129	2.5277698885884163	2.1897644664245717	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	12.0
4750000	2.5834085537757	1.1975179580495974	0.357539802198142	1.018898154374201	0.8130057047946635	0.3486988185837048	0.8402018401529472	1.621523948428071	1.0808773971009837	0.5159176691659353	0.6648873731274023	1.358011169199443	0.056823390790192614	0.7357543692061347	1.6680137644054038	0.7741332655078493	0.3779868800317734	1.5222824102783996	0.3272616627777527	2.340755738907501	0.4477677112417129	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	9.0
5000000	0.08715509908372572	0.7953104436753836	0.7713922282356379	0.2756939738426723	0.12583354943229558	0.4635957928270737	1.4325814163009893	0.6931231701193554	2.9411946778645506	0.020206438701551012	1.2162713642174194	1.566265065240515	0.058352878882123704	0.20477077561750318	0.9245716075875418	0.8216537728598168	0.7704330825348102	0.8211349765608689	0.4857414275947315	1.7196391744961816	0.7774738400594153	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	10.0
5250000	1.4777404792619726	0.28582280024916673	0.3241402149336889	0.38871041229169717	0.5093788743823245	0.3539716822871091	0.5897914950764941	1.0100245863835002	0.25851781118481476	0.5384569775358735	0.13808697291629815	3.0017961938127726	1.1341730283833462	1.7436076026572263	1.2238047612040728	0.6760532735727228	0.6168199053300759	1.4307294672091828	3.2216748207654122	2.838029025482229	2.66215844924865	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	10.0
5500000	0.12246565141962543	1.003354736375074	0.4361694764516797	2.034064914879388	0.22223685103597673	0.2377731199855302	0.9047492733342987	0.9516013149011141	4.920817057583253	2.4784209576015304	0.16516307042696377	1.3948566899583887	2.053125804080919	0.6467032518417227	1.5499108026847164	0.6685072933505412	0.29727286605898245	0.38491696894769983	0.814372539147589	2.507652693993419	0.2767717468358864	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	9.0
5750000	0.3978593456710631	0.1648605186685778	0.4512609306431071	1.019954037011136	2.358447195292631	0.3745289784550264	1.2585305167958427	0.8778292507428992	1.5200974677668024	0.3375532626734299	0.4150335797129605	1.873375799214712	1.5520787452098168	1.153809897299656	1.048368816433534	0.6548880615836644	0.13514084071851354	0.3701608162928088	0.7575268961144656	1.6690117227356285	1.1690272341599495	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	9.0
