# BEAST v1.10.5 Prerelease #8a10723
# Generated Tue Sep 26 14:41:23 CEST 2023 [seed=1695732074588]
# -beagle_double HBV-E_updated_geo_priors_completeHistory_posterior_run3.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates	Current Tree	c_allTransitions[1]
0	-95.64587760383766	-10.416516013195332	-85.22936159064233	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	903.0	17.0
10000	-45.71250903569255	-5.847999775661101	-39.86450926003145	0.36541855444180715	0.27723416377844873	0.3573472817797442	0.9116551174843848	0.005120039720429189	0.4695507432174841	0.09725936097907353	0.9224891713527963	0.1769102262697105	0.584460663959509	0.8597649938776005	0.0	1.0	0.0	1.0	0.0	1.0	3.0	83.0	9.0
20000	-46.17072690476853	-6.593483056039804	-39.57724384872873	0.326646584337421	0.312793189549907	0.3605602261126721	0.5757273717205289	0.038995984801216216	1.0939966316723835	0.11814141623239692	0.242248696369966	0.6137992855178095	1.9892027498667921	0.30613552501978414	0.0	1.0	1.0	0.0	1.0	1.0	4.0	254.0	41.0
30000	-43.858467254990664	-4.366648761794307	-39.491818493196355	0.3411731063637008	0.3764961154601095	0.2823307781761898	0.011631323703370396	0.005397274280738281	0.07223910095152197	0.6267816672754694	0.629155571728354	2.956606496984167	0.8333804215118267	1.5532048411917374	1.0	1.0	1.0	1.0	1.0	1.0	6.0	699.0	9.0
40000	-40.83618639203614	-0.032402049294910196	-40.80378434274123	0.39922318445911886	0.4496138442684136	0.15116297127246756	0.006734610127486249	0.004369164834222668	0.01003663732170342	0.21454417569283837	0.9305840716510342	0.7114561595638249	0.7450282420597664	0.3628496360542232	1.0	1.0	1.0	1.0	1.0	1.0	6.0	269.0	11.0
50000	-41.483684023067475	-2.4500779012089433	-39.03360612185853	0.291855002812677	0.5756391743897019	0.13250582279762135	0.002003582406064698	0.002398928107312017	0.3118251576700093	1.5548538713365037	2.1798062943994623	0.5772062318037173	1.723069504166745	0.31770737246008385	1.0	1.0	1.0	1.0	1.0	1.0	6.0	703.0	8.0
60000	-37.55243645175591	1.1710749800126434	-38.72351143176855	0.33146388767594515	0.6204654992664018	0.04807061305765348	9.380362613805024E-4	8.129181847221586E-4	0.6277800123602734	1.8121084325833225	1.7695360126781126	0.32395468311667874	0.6632068335211343	0.009467107319660863	1.0	1.0	1.0	0.0	1.0	1.0	5.0	995.0	8.0
70000	-45.21587662861806	-4.806287938896483	-40.40958868972158	0.36293120409440127	0.5889662296241681	0.04810256628143144	0.07269614424621393	0.053962501234483776	0.10995336628837102	0.13560290288043433	0.9031467250197452	0.39452647349193365	2.3886313389041858	0.8146085164718255	0.0	1.0	1.0	1.0	1.0	1.0	5.0	199.0	12.0
80000	-43.15945022377589	-4.844141498548344	-38.315308725227545	0.42209487032919574	0.5771075371801475	7.975924906576783E-4	0.0060241539265566855	0.004810173638828847	0.2965395721559689	1.6430335940547305	0.5831045184626547	2.24103123567491	0.19100700476274132	3.5425308216231244	1.0	1.0	1.0	1.0	0.0	1.0	5.0	614.0	8.0
90000	-41.34192568953187	-2.7775028671596145	-38.56442282237226	0.3889675875266973	0.6067146833358181	0.004317729137485441	0.007180316897925796	0.0014957452937315863	0.6263598214010215	4.066927451910033	1.171345994602529	0.9915099208626853	0.40865102615114374	0.0028810485003737184	1.0	1.0	0.0	1.0	0.0	1.0	4.0	984.0	8.0
