# BEAST v1.10.5 Prerelease #8a10723
# Generated Tue Sep 26 14:39:31 CEST 2023 [seed=1695731962105]
# -beagle_double HBV-E_updated_geo_priors_completeHistory_posterior_run1.xml
state	posterior	prior	likelihood	location.root.frequencies1	location.root.frequencies2	location.root.frequencies3	location.clock.rate.exp.mean	location.clock.rate	location.rates.Africa.Americas	location.rates.Africa.Europe	location.rates.Americas.Europe	location.rates.Americas.Africa	location.rates.Europe.Africa	location.rates.Europe.Americas	location.indicators.Africa.Americas	location.indicators.Africa.Europe	location.indicators.Americas.Europe	location.indicators.Americas.Africa	location.indicators.Europe.Africa	location.indicators.Europe.Americas	location.nonZeroRates	Current Tree	c_allTransitions[1]
0	-68.42375068052706	-10.416516013195332	-58.00723466733173	0.3333333333333333	0.3333333333333333	0.3333333333333333	1.0	0.01	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	6.0	337.0	18.0
10000	-41.840898172773564	-1.4638533645498728	-40.377044808223694	0.3139848663943444	0.3692722678948472	0.31674286571080834	0.006817997713784847	0.005345787422871152	0.07261975658145056	0.4662650150609969	0.31909871376056625	1.5029872657269627	1.7295300482986458	0.16164172048750403	1.0	1.0	1.0	1.0	1.0	1.0	6.0	575.0	8.0
20000	-43.64731701544104	-2.88653248130926	-40.76078453413178	0.32859001361030843	0.3279973396602545	0.343412646729437	0.015473714811272323	0.0013127869064868162	0.29659023710484966	1.545497086871164	1.4402435178398274	0.47554073921220286	1.0297265509139661	1.0459076267771763	1.0	1.0	0.0	1.0	1.0	1.0	5.0	662.0	8.0
30000	-46.30806875241124	-4.5868254727198	-41.721243279691436	0.3867925088608792	0.35165196499393087	0.26155552614518984	0.09833604325629429	0.06331800145534867	0.9232995989298288	0.06833584242507695	0.016418506690611265	2.290598935170849	0.7570833842842724	0.9022128924751691	0.0	1.0	0.0	1.0	0.0	1.0	3.0	914.0	20.0
40000	-51.805295021341735	-9.729257126519093	-42.07603789482264	0.32040108262103983	0.3805600498605076	0.29903886751845243	0.04546311813595165	0.015366643621252249	2.2750761936906643	0.5466723663903755	1.882800467258361	0.898223129433294	2.833810282263901	2.354852691250465	0.0	1.0	1.0	1.0	1.0	1.0	5.0	161.0	19.0
50000	-45.42059109268715	-4.905369294209037	-40.51522179847811	0.3102142906490544	0.4168462890946617	0.2729394202562838	0.25109244809408887	0.08438659773000506	0.09889212855701308	0.04197438289151105	0.06040791557184535	1.3967373057777168	1.053265918118706	0.6519999187460314	0.0	1.0	1.0	1.0	1.0	1.0	5.0	100.0	46.0
60000	-47.565105133688114	-6.436583436744444	-41.12852169694367	0.3574987664563181	0.43491261340486537	0.20758862013881646	0.11316126444641698	0.09042231974133838	1.0907672012446104	0.07010044732814641	0.8753643715233381	0.5731899365581482	2.2823379213161346	0.7442289617083023	0.0	1.0	1.0	1.0	1.0	1.0	5.0	895.0	34.0
70000	-46.758450342802895	-6.927534379892092	-39.8309159629108	0.3983832990658968	0.3571154018206244	0.24450129911347887	0.6644484525918426	0.0483109618733898	0.7855635312486439	0.11264684162842847	0.43555248051966217	0.7744575561940112	1.1884715095674008	0.6257380005028684	0.0	1.0	1.0	1.0	1.0	1.0	5.0	556.0	32.0
80000	-48.696739301657175	-5.535359632253169	-43.161379669404006	0.3383653224954917	0.3899635767760938	0.2716711007284147	0.19644806219747013	0.16936854685611963	1.3261989019754175	0.047389138611925785	0.06141443671385286	2.5452843973758297	0.27338026941280724	0.34748878932791943	0.0	0.0	0.0	1.0	1.0	1.0	3.0	563.0	115.0
90000	-42.43593900473687	-2.749418486165097	-39.686520518571776	0.27518311933060474	0.4193737826493158	0.30544309802007963	0.0077138160308239	0.0017532091829918484	3.375930041292211	1.0946545073841496	0.33501532842456944	0.09436308197948645	0.381008389301757	1.321053104385798	0.0	1.0	1.0	1.0	1.0	1.0	5.0	492.0	10.0
100000	-45.584941641776375	-3.7545523825405938	-41.83038925923578	0.255151817634485	0.5431235611301761	0.20172462123533894	0.0445463430119596	0.007926664734268436	0.28279581620220845	0.6771954368985925	1.2492910231970393	0.6657954657444186	0.943645252670122	1.1890832214808906	0.0	1.0	1.0	1.0	1.0	1.0	5.0	214.0	9.0
110000	-46.28199141791561	-6.272798478653655	-40.00919293926196	0.3194085381935424	0.43095485173636217	0.24963661007009558	0.09222055524815176	0.019026105290561653	0.02813476621649703	0.21723480371000634	0.5776096465943775	1.6258907242709888	2.0300190395434425	1.2103306594701129	1.0	1.0	1.0	1.0	1.0	1.0	6.0	879.0	13.0
120000	-42.428679046095255	-2.091794346404219	-40.33688469969103	0.26783304965237403	0.4523184729484762	0.2798484773991499	0.06914957718586412	0.033252598234682115	0.6764897140316277	0.03146188028261984	1.0996873317965825	0.08335901248303076	0.39766364005047267	0.08153487900864835	0.0	1.0	1.0	1.0	1.0	1.0	5.0	21.0	13.0
130000	-43.84174662524167	-3.320894805887709	-40.52085181935396	0.31342715056866277	0.3931903561401505	0.29338249329118676	0.014658201961471625	0.040258944184333165	8.536157029823525E-4	0.09788940256138835	0.43245173825862715	0.7680365885175822	1.6110760630401386	0.0843620102429938	1.0	1.0	1.0	1.0	1.0	1.0	6.0	518.0	20.0
140000	-47.65677750973662	-7.10807278227864	-40.54870472745798	0.2242856721107202	0.4367494408047236	0.33896488708455635	0.020329040838522144	0.004982372432906881	0.46602486568578544	0.1529635851135592	5.248735519168906	1.9227294977673146	1.9079015449780254	0.5831629117168875	0.0	1.0	0.0	1.0	0.0	1.0	3.0	320.0	11.0
150000	-48.22140152707809	-7.9714011866841	-40.250000340393996	0.2652304485964215	0.3843559287443027	0.35041362265927595	0.49276650240002656	0.0477215267678987	1.4085744943140015	0.12193999108882943	1.040764540042756	0.28950844623733996	2.5862199792930514	0.5402029436706471	0.0	1.0	1.0	0.0	1.0	1.0	4.0	785.0	38.0
160000	-51.57102399204504	-11.853478049428118	-39.71754594261692	0.3284535718536121	0.3765633244042727	0.2949831037421155	0.5095245668962003	0.012938805243011796	0.31202635374070214	0.6051861423228643	0.7658288376870053	0.16824456878472846	2.919366358199699	4.600716608261129	0.0	1.0	1.0	1.0	1.0	1.0	5.0	186.0	13.0
170000	-45.25772245475855	-7.121239624890985	-38.13648282986757	0.3160183561206171	0.32178356758439275	0.36219807629499046	1.015802051677222	0.015995658362905854	0.07081417664833813	0.23447705222590398	0.7897140310585221	1.3621166094051196	0.6910600396032399	0.21252328255249017	0.0	1.0	1.0	1.0	1.0	1.0	5.0	322.0	10.0
180000	-44.9206229081604	-3.8885269363809294	-41.03209597177947	0.28410285619577746	0.3946166722302463	0.32128047157397666	0.00805106191420683	0.0061613723446111695	0.25139921516822283	0.6996064810444703	2.224596696073872	2.4347613072806102	0.6218838790486796	0.2133778195587247	1.0	1.0	1.0	1.0	1.0	1.0	6.0	518.0	9.0
190000	-44.12617726143946	-5.312347559479304	-38.81382970196015	0.29571667648269406	0.3012000752921794	0.403083248225127	0.36479579294679393	0.004668428407539816	0.03544448123060348	0.6193764980269905	0.602305330586775	0.7181141669646266	0.8499802768503273	1.102014655908413	0.0	1.0	1.0	1.0	0.0	1.0	4.0	252.0	10.0
200000	-53.67824639461175	-13.553450008683868	-40.12479638592788	0.3220173340213106	0.27107985509270305	0.4069028108859868	0.8491115115141589	0.010741278577375727	0.4345442565400258	0.707333636099293	3.1818709117182187	1.6534854204677938	0.8195540711594714	3.8622598620590547	0.0	1.0	1.0	1.0	0.0	1.0	4.0	128.0	9.0
210000	-47.18572279438168	-7.7758890204143025	-39.40983377396738	0.41867626366497274	0.25573312203982124	0.3255906142952064	0.5404394851028039	0.04071743841486135	0.008807030934770914	0.20358991373805893	1.4859966256265822	0.5586315114179349	3.0377824906061703	0.3560360640367204	0.0	1.0	0.0	1.0	1.0	1.0	4.0	462.0	37.0
220000	-48.11654742933645	-7.018712973333956	-41.097834456002495	0.5654317785289051	0.25694659086988475	0.17762163060121083	0.3350714406840701	0.011063231634288004	0.10809952048137973	0.29973043966783086	0.8305950584301959	2.093486511623353	1.460816117927368	0.4521805125420943	1.0	1.0	1.0	1.0	1.0	0.0	5.0	576.0	8.0
230000	-51.43582614526315	-11.02749177815129	-40.408334367111856	0.6621131952371577	0.1761625463392004	0.1617242584236418	0.1644438344299741	6.857919205505219E-4	1.9352688419432191	2.7335576913602817	0.8296561639681356	1.3050625207241706	1.4609788726189203	1.4778386840542295	1.0	1.0	1.0	1.0	1.0	1.0	6.0	445.0	8.0
240000	-41.275263265617255	-1.4955267248264237	-39.77973654079083	0.6420412371160187	0.17352501877073614	0.18443374411324542	0.005483269419709177	0.0032449565751963938	1.161665229627119	1.1658352467129107	0.1673833352421655	0.24108633167170201	2.5607119430656353	0.20002249931997163	1.0	1.0	0.0	1.0	1.0	1.0	5.0	322.0	8.0
250000	-50.140805180083376	-8.172677033778108	-41.96812814630527	0.6460020669782758	0.1383329222501066	0.21566501077161804	0.0814145309851215	0.004591306011113055	0.06277429748492111	1.2176478381922788	0.5405185843307284	3.142057333738303	0.47363076523775927	3.6987058196567215	0.0	1.0	1.0	1.0	0.0	1.0	4.0	53.0	12.0
260000	-45.95919900860436	-6.337059417202887	-39.62213959140147	0.5708693731145017	0.18885202455107725	0.24027860233442166	0.0032316957531378547	0.0018329468752361028	0.7468991532835593	2.8255559009077786	0.45311030070608793	0.5364833648194638	2.729789963090209	3.1720332473925965	1.0	1.0	1.0	1.0	1.0	1.0	6.0	245.0	8.0
270000	-41.88904407084653	-2.7045363906307456	-39.18450768021579	0.5260875272140968	0.21764453850696172	0.25626793427894196	0.011478194486951282	0.012826975001456933	0.9564672608815288	0.22875146050309522	0.5462318235771146	0.3265725480556723	0.2444129556852507	3.2772692255908247	0.0	1.0	1.0	1.0	0.0	1.0	4.0	475.0	9.0
280000	-39.70120838307442	1.0136097295644206	-40.714818112638845	0.4355556242209615	0.35276146987330886	0.21168290590573	0.0049826857707308434	0.0024210882986724753	0.10844234010694176	0.5041879390074888	0.08331911665955134	0.6013052034849069	0.07198202027448311	1.1749253702901539	1.0	1.0	1.0	1.0	1.0	1.0	6.0	534.0	8.0
290000	-42.209514029751865	-2.4093182124824777	-39.80019581726939	0.43166780912469477	0.23985691219482536	0.3284752786804804	0.024552142966603734	0.0054878618507833805	0.18304199599084361	0.4700429949842756	1.023303183091527	1.0715087748826686	0.03388571687211119	1.04565901997465	1.0	1.0	1.0	1.0	1.0	1.0	6.0	505.0	8.0
