# BEAST v1.10.5 Prerelease #23570d1
# Generated Fri Nov 22 18:01:57 CET 2019 [seed=777]
# -beagle_cpu -overwrite -seed 777 -save_every 100000 -save_state checkpoint.state A_ancient_skyride_phylogeography.xml
state	location.rates.Africa.Americas	location.rates.Africa.EastSouthAsia	location.rates.Africa.Europe	location.rates.Africa.WestCentralAsia	location.rates.Americas.EastSouthAsia	location.rates.Americas.Europe	location.rates.Americas.WestCentralAsia	location.rates.EastSouthAsia.Europe	location.rates.EastSouthAsia.WestCentralAsia	location.rates.Europe.WestCentralAsia	location.indicators.Africa.Americas	location.indicators.Africa.EastSouthAsia	location.indicators.Africa.Europe	location.indicators.Africa.WestCentralAsia	location.indicators.Americas.EastSouthAsia	location.indicators.Americas.Europe	location.indicators.Americas.WestCentralAsia	location.indicators.EastSouthAsia.Europe	location.indicators.EastSouthAsia.WestCentralAsia	location.indicators.Europe.WestCentralAsia	location.nonZeroRates
0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	10.0
250000	1.8416644159119973	1.0299032755179371	0.6942683342069702	0.4074248666730527	1.6679030856659425	2.8067039398830755	1.4304067580311597	1.2802959320905147	0.15227767742998619	0.12081879292190362	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	8.0
500000	1.004735713624748	0.11954892707319363	0.5429964498142651	0.3335799967626265	1.309555635089735	1.0526689692263418	0.8352918772555151	0.7658778773615567	1.7410489222973102	0.040320304910748325	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
750000	0.8714356369483146	0.4885045657535409	1.013809205213602	0.3177629593500848	1.5470485920101966	2.1904165364297623	1.796290343213693	1.2047212014616204	0.4842521957459825	0.1328800326568452	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
1000000	0.5921719710415647	0.3764448629481265	0.8379992535574955	2.9245703652640995	1.536941409582149	3.65103099908794	0.620178315893858	0.4930301562334239	0.14481028753179268	0.4335419812178349	1.0	1.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	7.0
1250000	1.7638737651784528	0.9002816099470947	0.9198580043515443	0.29833307205517634	1.5942868636072143	2.0134784541529385	0.379605731621215	1.894482425661637	0.11346839377605986	0.15261961358763787	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	8.0
1500000	2.3311570814894953	0.4177237510858073	1.1137847062800303	1.5123272957156084	1.673055730317887	2.7676552769662344	0.044584527051201056	0.9017903658482085	0.1283956871376328	0.33800815009020163	1.0	1.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	8.0
1750000	1.7863454930470002	0.14345562980565957	0.870701069271022	0.35832200618621624	1.8602980993171105	2.345921515793361	1.5368058370054805	0.7643048173663193	2.1961297973383185	0.6203820577542883	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
2000000	1.8674293136714615	4.06453385301289	1.2810042747493884	0.1510670472083926	3.0902896542683442	1.153422661297123	0.7937250523841481	0.653307988646251	0.06135146217082327	0.3752269205130112	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
2250000	1.2669344545853989	0.20255110798338527	0.8502575734829736	1.4184934815295682	1.320865791358133	2.0132369778218364	2.229960340369818	0.872020457529249	6.636252747996805E-4	0.2687638198931665	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	7.0
2500000	1.1448469165070758	0.012775402609522176	1.3078555235194167	1.3126912091678267	1.7726032680805242	1.008059499836706	0.9197328088188162	1.1208027689136617	0.33585247231221965	0.09400904069529532	1.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	6.0
