state	from	to	time
10000000	Europe	Africa	29.833153959977246
10000000	Americas	Europe	25.441670537910344
10000000	Europe	Americas	15.177746932147407
10000000	Americas	Europe	10.521775483697313
10000000	Europe	EastSouthAsia	13.571883700771046
10000000	Africa	Europe	15.98541875775544
10000000	Africa	Europe	14.938541234073638
10000000	Africa	Europe	15.715787567317049
10000000	Americas	Europe	13.441601753300716
10000000	Americas	EastSouthAsia	44.82401426346267
10000000	Europe	EastSouthAsia	14.452626635768432
10000000	Africa	Europe	12.238695716427099
10000000	Europe	EastSouthAsia	8.305741640756318
10000000	Europe	EastSouthAsia	9.283596868317542
10000000	Americas	EastSouthAsia	13.06799381193013
10000000	Europe	EastSouthAsia	15.065277741369185
10000000	Europe	WestCentralAsia	20.507281222184286
10000000	Europe	Americas	22.79091226459643
10000000	Americas	EastSouthAsia	45.374752719481734
10000000	Europe	Africa	20.161498055940022
10000000	Americas	Europe	31.458839726761227
10000000	Americas	Europe	12.621588915283722
10000000	Europe	EastSouthAsia	24.26990535136236
10000000	Americas	Europe	2664.519390836377
10000000	Africa	Americas	33.67134731451059
10000000	Americas	EastSouthAsia	56.28498390250367
10000000	Americas	EastSouthAsia	29.75864551965823
10000000	Africa	Americas	110.12914855831247
10000000	Africa	Americas	28.09432378408417
10000000	Africa	Americas	153.2185088493756
10000000	Europe	Americas	29.64087526168255
10000000	Europe	Americas	17.83141848922376
10000000	Europe	Americas	20.49932796368143
10000000	EastSouthAsia	Americas	18.044766697763148
10000000	Europe	EastSouthAsia	22.753649480696723
10000000	Europe	Americas	17.352189023405554
10000000	Europe	EastSouthAsia	35.43050039454748
10000000	Europe	Americas	24.682986111531804
10000000	Europe	Americas	24.880398193025695
10000000	Europe	EastSouthAsia	36.98356922094614
10000000	Europe	EastSouthAsia	25.06808847786745
10000000	Europe	EastSouthAsia	16.662362387103382
10000000	Europe	Americas	23.456653962233826
10000000	Americas	Europe	15.214747965489751
10000000	Americas	Europe	17.50334889693441
10000000	Europe	Americas	41.74096179657784
10000000	Americas	Europe	58.85644349478037
10000000	Africa	Americas	107.85435289690926
10000000	Africa	Europe	37.18578208275139
10000000	Europe	Africa	1536.9065882760854
10000000	Americas	Europe	2051.9702293689074
10000000	WestCentralAsia	Africa	3734.045879936681
10000000	Africa	Europe	3501.423512538802
10000000	Europe	Americas	3288.5771115653797
